年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2019年07月22日,10000,1,,
2019年07月23日,10000,1,,
2019年07月24日,10067,1,,
2019年07月25日,10097,6,,
2019年07月26日,10093,9,,
2019年07月29日,10107,10,,
2019年07月30日,10134,20,,
2019年07月31日,10067,35,,
2019年08月01日,10030,39,,
2019年08月02日,9792,49,,
2019年08月05日,9608,59,,
2019年08月06日,9336,61,,
2019年08月07日,9412,78,,
2019年08月08日,9417,81,,
2019年08月09日,9565,88,,
2019年08月13日,9371,84,,
2019年08月14日,9534,89,,
2019年08月15日,9293,92,,
2019年08月16日,9300,92,,
2019年08月19日,9438,96,,
2019年08月20日,9556,104,,
2019年08月21日,9482,106,,
2019年08月22日,9572,110,,
2019年08月23日,9552,111,,
2019年08月26日,9256,108,,
2019年08月27日,9365,110,,
2019年08月28日,9353,110,,
2019年08月29日,9409,113,,
2019年08月30日,9545,116,,
2019年09月02日,9539,117,,
2019年09月03日,9552,119,,
2019年09月04日,9473,118,,
2019年09月05日,9642,123,,
2019年09月06日,9799,125,,
2019年09月09日,9812,126,,
2019年09月10日,9859,126,,
2019年09月11日,9890,128,,
2019年09月12日,9994,127,,
2019年09月13日,10050,128,,
2019年09月17日,10021,128,,
2019年09月18日,10035,128,,
2019年09月19日,10049,128,,
2019年09月20日,10033,127,,
2019年09月24日,9954,125,,
2019年09月25日,9851,124,,
2019年09月26日,9909,125,,
2019年09月27日,9913,126,,
2019年09月30日,9886,126,,
2019年10月01日,9941,127,,
2019年10月02日,9809,126,,
2019年10月03日,9581,123,,
2019年10月04日,9614,140,,
2019年10月07日,9701,141,,
2019年10月08日,9741,147,,
2019年10月09日,9606,145,,
2019年10月10日,9687,148,,
2019年10月11日,9824,150,,
2019年10月15日,9974,153,0.00,1
2019年10月16日,10084,155,,
2019年10月17日,10088,156,,
2019年10月18日,10113,136,,
2019年10月21日,10071,134,,
2019年10月23日,10102,135,,
2019年10月24日,10145,138,,
2019年10月25日,10178,139,,
2019年10月28日,10211,139,,
2019年10月29日,10282,141,,
2019年10月30日,10265,143,,
2019年10月31日,10298,145,,
2019年11月01日,10192,142,,
2019年11月05日,10408,150,,
2019年11月06日,10431,152,,
2019年11月07日,10422,155,,
2019年11月08日,10498,156,,
2019年11月11日,10471,155,,
2019年11月12日,10454,156,,
2019年11月13日,10442,155,,
2019年11月14日,10407,157,,
2019年11月15日,10396,154,,
2019年11月18日,10488,156,,
2019年11月19日,10467,155,,
2019年11月20日,10476,156,,
2019年11月21日,10419,155,,
2019年11月22日,10418,166,,
2019年11月25日,10453,167,,
2019年11月26日,10548,169,,
2019年11月27日,10570,171,,
2019年11月28日,10630,173,,
2019年11月29日,10637,173,,
2019年12月02日,10605,172,,
2019年12月03日,10484,171,,
2019年12月04日,10370,183,,
2019年12月05日,10458,185,,
2019年12月06日,10472,185,,
2019年12月09日,10535,187,,
2019年12月10日,10518,187,,
2019年12月11日,10515,187,,
2019年12月12日,10538,188,,
2019年12月13日,10735,192,,
2019年12月16日,10746,181,,
2019年12月17日,10839,183,,
2019年12月18日,10842,183,,
2019年12月19日,10858,183,,
2019年12月20日,10858,184,,
2019年12月23日,10894,186,,
2019年12月24日,10911,185,,
2019年12月25日,10897,185,,
2019年12月26日,10925,188,,
2019年12月27日,10976,189,,
2019年12月30日,10988,189,,
2020年01月06日,10832,188,,
2020年01月07日,10883,190,,
2020年01月08日,10803,195,,
2020年01月09日,10972,199,,
2020年01月10日,11073,203,,
2020年01月14日,11187,206,,
2020年01月15日,11157,204,,
2020年01月16日,11170,207,,
2020年01月17日,11270,209,,
2020年01月20日,11302,210,,
2020年01月21日,11298,214,,
2020年01月22日,11221,213,,
2020年01月23日,11211,215,,
2020年01月24日,11172,214,,
2020年01月27日,11058,210,,
2020年01月28日,10862,209,,
2020年01月29日,10965,211,,
2020年01月30日,10941,210,,
2020年01月31日,10925,211,,
2020年02月03日,10727,208,,
2020年02月04日,10781,210,,
2020年02月05日,11029,219,,
2020年02月06日,11173,221,,
2020年02月07日,11222,223,,
2020年02月10日,11130,221,,
2020年02月12日,11238,225,,
2020年02月13日,11304,226,,
2020年02月14日,11279,226,,
2020年02月17日,11279,226,,
2020年02月18日,11280,227,,
2020年02月19日,11244,226,,
2020年02月20日,11438,226,,
2020年02月21日,11460,228,,
2020年02月25日,10897,217,,
2020年02月26日,10606,212,,
2020年02月27日,10540,212,,
2020年02月28日,10103,205,,
2020年03月02日,9807,200,,
2020年03月03日,10140,208,,
2020年03月04日,9940,211,,
2020年03月05日,10230,219,,
2020年03月06日,9890,213,,
2020年03月09日,9298,200,,
2020年03月10日,8760,190,,
2020年03月11日,9130,199,,
2020年03月12日,8756,190,,
2020年03月13日,7965,176,,
2020年03月16日,8553,190,,
2020年03月17日,7743,173,,
2020年03月18日,8091,179,,
2020年03月19日,7775,174,,
2020年03月23日,7792,176,,
2020年03月24日,7574,173,,
2020年03月25日,8261,191,,
2020年03月26日,8408,197,,
2020年03月27日,8684,203,,
2020年03月30日,8338,195,,
2020年03月31日,8576,201,,
2020年04月01日,8442,200,,
2020年04月02日,8115,193,,
2020年04月03日,8277,202,,
2020年04月06日,8250,201,,
2020年04月07日,8717,213,,
2020年04月08日,8754,215,,
2020年04月09日,8961,221,,
2020年04月10日,9059,223,,
2020年04月13日,9022,223,,
2020年04月14日,8939,221,,
2020年04月15日,9106,225,,
2020年04月16日,8927,223,,
2020年04月17日,8994,225,,
2020年04月20日,9199,231,,
2020年04月21日,9083,229,,
2020年04月22日,8825,222,,
2020年04月23日,8993,226,,
2020年04月24日,8994,226,,
2020年04月27日,9054,228,,
2020年04月28日,9174,231,,
2020年04月30日,9369,237,,
2020年05月01日,9301,237,,
2020年05月07日,9024,230,,
2020年05月08日,9147,233,,
2020年05月11日,9331,246,,
2020年05月12日,9362,247,,
2020年05月13日,9221,243,,
2020年05月14日,9052,239,,
2020年05月15日,9117,243,,
2020年05月18日,9124,243,,
2020年05月19日,9426,252,,
2020年05月20日,9436,253,,
2020年05月21日,9539,256,,
2020年05月22日,9467,256,,
2020年05月25日,9441,256,,
2020年05月26日,9501,258,,
2020年05月27日,9616,261,,
2020年05月28日,9765,265,,
2020年05月29日,9746,265,,
2020年06月01日,9788,267,,
2020年06月02日,9865,269,,
2020年06月03日,10085,280,,
2020年06月04日,10256,286,,
2020年06月05日,10263,286,,
2020年06月08日,10526,293,,
2020年06月09日,10482,291,,
2020年06月10日,10391,287,,
2020年06月11日,10282,284,,
2020年06月12日,9756,270,,
2020年06月15日,9853,272,,
2020年06月16日,9931,273,,
2020年06月17日,10108,279,,
2020年06月18日,10056,276,,
2020年06月19日,10057,276,,
2020年06月22日,10021,275,,
2020年06月23日,10092,277,,
2020年06月24日,10124,279,,
2020年06月25日,9935,274,,
2020年06月26日,10014,277,,
2020年06月29日,9857,273,,
2020年06月30日,9992,277,,
2020年07月01日,10118,282,,
2020年07月02日,10114,282,,
2020年07月03日,10219,285,,
2020年07月06日,10241,291,,
2020年07月07日,10386,295,,
2020年07月08日,10313,296,,
