年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2010年10月20日,10000,1,,
2010年10月21日,10001,1,,
2010年10月22日,9999,1,,
2010年10月25日,10002,1,,
2010年10月26日,10002,1,,
2010年10月27日,9979,1,,
2010年10月28日,9994,1,,
2010年10月29日,9980,1,,
2010年11月01日,9979,1,,
2010年11月02日,9985,1,,
2010年11月04日,9992,1,,
2010年11月05日,9979,1,,
2010年11月08日,9967,1,,
2010年11月09日,9962,1,,
2010年11月10日,9955,1,,
2010年11月11日,9945,1,,
2010年11月12日,9945,1,,
2010年11月15日,9918,1,,
2010年11月16日,9939,1,,
2010年11月17日,9924,1,,
2010年11月18日,9895,1,,
2010年11月19日,9917,1,,
2010年11月22日,9891,1,,
2010年11月24日,9900,1,,
2010年11月25日,9892,1,,
2010年11月26日,9872,1,,
2010年11月29日,9875,1,,
2010年11月30日,9870,1,,
2010年12月01日,9891,1,,
2010年12月02日,9874,1,,
2010年12月03日,9862,1,,
2010年12月06日,9888,1,,
2010年12月07日,9870,1,,
2010年12月08日,9827,1,,
2010年12月09日,9811,1,,
2010年12月10日,9840,1,,
2010年12月13日,9811,1,,
2010年12月14日,9826,1,,
2010年12月15日,9824,1,,
2010年12月16日,9819,1,,
2010年12月17日,9869,1,,
2010年12月20日,9874,1,,
2010年12月21日,9874,1,,
2010年12月22日,9896,1,,
2010年12月24日,9893,1,,
2010年12月27日,9888,1,,
2010年12月28日,9906,1,,
2010年12月29日,9901,1,,
2010年12月30日,9930,1,,
2011年01月04日,9909,1,,
2011年01月05日,9905,1,,
2011年01月06日,9873,1,,
2011年01月07日,9883,1,,
2011年01月11日,9890,1,,
2011年01月12日,9886,1,,
2011年01月13日,9878,1,,
2011年01月14日,9870,1,,
2011年01月17日,9856,1,,
2011年01月18日,9856,1,,
2011年01月19日,9835,1,,
2011年01月20日,9870,1,,
2011年01月21日,9873,1,,
2011年01月24日,9865,1,,
2011年01月25日,9857,1,,
2011年01月26日,9871,1,,
2011年01月27日,9874,1,,
2011年01月28日,9878,1,,
2011年01月31日,9876,1,,
2011年02月01日,9866,1,,
2011年02月02日,9869,1,,
2011年02月03日,9866,1,,
2011年02月04日,9843,1,,
2011年02月07日,9842,1,,
2011年02月08日,9823,1,,
2011年02月09日,9815,1,,
2011年02月10日,9826,1,,
2011年02月14日,9822,1,,
2011年02月15日,9830,1,,
2011年02月16日,9807,1,,
2011年02月17日,9814,1,,
2011年02月18日,9827,1,,
2011年02月21日,9823,1,,
2011年02月22日,9837,1,,
2011年02月23日,9857,1,,
2011年02月24日,9867,1,,
2011年02月25日,9862,1,,
2011年02月28日,9861,1,,
2011年03月01日,9847,1,,
2011年03月02日,9865,1,,
2011年03月03日,9849,1,,
2011年03月04日,9845,1,,
2011年03月07日,9854,1,,
2011年03月08日,9846,1,,
2011年03月09日,9843,1,,
2011年03月10日,9842,1,,
2011年03月11日,9865,1,,
2011年03月14日,9889,1,,
2011年03月15日,9868,1,,
2011年03月16日,9854,1,,
2011年03月17日,9863,1,,
2011年03月18日,9867,1,,
2011年03月22日,9853,1,,
2011年03月23日,9868,1,,
2011年03月24日,9878,1,,
2011年03月25日,9878,1,,
2011年03月28日,9868,1,,
2011年03月29日,9869,1,,
2011年03月30日,9864,1,,
2011年03月31日,9863,1,,
2011年04月01日,9854,1,,
2011年04月04日,9847,1,,
2011年04月05日,9848,1,,
2011年04月06日,9841,1,,
2011年04月07日,9829,1,,
2011年04月08日,9826,1,,
2011年04月11日,9828,1,,
2011年04月12日,9824,1,,
2011年04月13日,9833,1,,
2011年04月14日,9844,1,,
2011年04月15日,9848,1,,
2011年04月18日,9861,1,,
2011年04月19日,9873,1,,
2011年04月20日,9878,1,,
2011年04月21日,9881,1,,
2011年04月22日,9892,1,,
2011年04月25日,9887,1,,
2011年04月26日,9893,1,,
2011年04月27日,9893,1,,
2011年04月28日,9899,1,,
2011年05月02日,9901,1,,
2011年05月06日,9937,1,,
2011年05月09日,9938,1,,
2011年05月10日,9945,1,,
2011年05月11日,9952,1,,
2011年05月12日,9955,1,,
2011年05月13日,9960,1,,
2011年05月16日,9951,1,,
2011年05月17日,9937,1,,
2011年05月18日,9934,1,,
2011年05月19日,9935,1,,
2011年05月20日,9948,1,,
2011年05月23日,9943,1,,
2011年05月24日,9948,1,,
