年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2010年10月20日,10000,1,,
2010年10月21日,10048,1,,
2010年10月22日,10026,1,,
2010年10月25日,10047,1,,
2010年10月26日,9993,1,,
2010年10月27日,10016,1,,
2010年10月28日,9990,1,,
2010年10月29日,9948,1,,
2010年11月01日,9949,1,,
2010年11月02日,9951,1,,
2010年11月04日,10099,1,,
2010年11月05日,10129,1,,
2010年11月08日,10100,1,,
2010年11月09日,10006,1,,
2010年11月10日,10016,1,,
2010年11月11日,10060,1,,
2010年11月12日,10037,1,,
2010年11月15日,10039,1,,
2010年11月16日,10034,1,,
2010年11月17日,10004,1,,
2010年11月18日,10022,1,,
2010年11月19日,10076,1,,
2010年11月22日,10103,1,,
2010年11月24日,9987,1,,
2010年11月25日,9924,1,,
2010年11月26日,9953,1,,
2010年11月29日,9945,1,,
2010年11月30日,9918,1,,
2010年12月01日,9817,1,,
2010年12月02日,9892,1,,
2010年12月03日,9878,1,,
2010年12月06日,9845,1,,
2010年12月07日,9790,1,,
2010年12月08日,9843,1,,
2010年12月09日,9856,1,,
2010年12月10日,9835,1,,
2010年12月13日,9828,1,,
2010年12月14日,9846,1,,
2010年12月15日,9830,1,,
2010年12月16日,9808,1,,
2010年12月17日,9804,1,,
2010年12月20日,9793,1,,
2010年12月21日,9761,1,,
2010年12月22日,9772,1,,
2010年12月24日,9686,1,,
2010年12月27日,9657,1,,
2010年12月28日,9683,1,,
2010年12月29日,9568,1,,
2010年12月30日,9541,1,,
2011年01月04日,9640,1,,
2011年01月05日,9665,1,,
2011年01月06日,9738,1,,
2011年01月07日,9672,1,,
2011年01月11日,9625,1,,
2011年01月12日,9688,1,,
2011年01月13日,9709,1,,
2011年01月14日,9760,1,,
2011年01月17日,9786,1,,
2011年01月18日,9726,1,,
2011年01月19日,9733,1,,
2011年01月20日,9708,1,,
2011年01月21日,9785,1,,
2011年01月24日,9803,1,,
2011年01月25日,9821,1,,
2011年01月26日,9784,1,,
2011年01月27日,9751,1,,
2011年01月28日,9841,1,,
2011年01月31日,9729,1,,
2011年02月01日,9773,1,,
2011年02月02日,9739,1,,
2011年02月03日,9756,1,,
2011年02月04日,9678,1,,
2011年02月07日,9717,1,,
2011年02月08日,9714,1,,
2011年02月09日,9699,1,,
2011年02月10日,9753,1,,
2011年02月14日,9779,1,,
2011年02月15日,9780,1,,
2011年02月16日,9835,1,,
2011年02月17日,9855,1,,
2011年02月18日,9868,1,,
2011年02月21日,9858,1,,
2011年02月22日,9828,1,,
2011年02月23日,9861,1,,
2011年02月24日,9826,1,,
2011年02月25日,9802,1,,
2011年02月28日,9743,1,,
2011年03月01日,9823,1,,
2011年03月02日,9799,1,,
2011年03月03日,9818,1,,
2011年03月04日,9856,1,,
2011年03月07日,9884,1,,
2011年03月08日,9860,1,,
2011年03月09日,9893,1,,
2011年03月10日,9910,1,,
2011年03月11日,9906,1,,
2011年03月14日,9868,1,,
2011年03月15日,9882,1,,
2011年03月16日,9812,1,,
2011年03月17日,9592,1,,
2011年03月18日,9860,1,,
2011年03月22日,9875,1,,
2011年03月23日,9844,1,,
2011年03月24日,9819,1,,
2011年03月25日,9830,1,,
2011年03月28日,9829,1,,
2011年03月29日,9843,1,,
2011年03月30日,9943,1,,
2011年03月31日,10046,1,,
2011年04月01日,10083,1,,
2011年04月04日,10189,1,,
2011年04月05日,10215,1,,
2011年04月06日,10325,1,,
2011年04月07日,10374,1,,
2011年04月08日,10341,1,,
2011年04月11日,10353,1,,
2011年04月12日,10260,1,,
2011年04月13日,10274,1,,
2011年04月14日,10226,1,,
2011年04月15日,10252,1,,
2011年04月18日,10163,1,,
2011年04月19日,10073,1,,
2011年04月20日,10153,1,,
2011年04月21日,10145,1,,
2011年04月22日,10084,1,,
2011年04月25日,10146,1,,
2011年04月26日,10072,1,,
2011年04月27日,10113,1,,
2011年04月28日,10234,1,,
2011年05月02日,10164,1,,
2011年05月06日,9983,1,,
2011年05月09日,9977,1,,
2011年05月10日,9924,1,,
2011年05月11日,10020,1,,
2011年05月12日,9990,1,,
2011年05月13日,9975,1,,
2011年05月16日,9909,1,,
2011年05月17日,9960,1,,
2011年05月18日,10050,1,,
2011年05月19日,10076,1,,
2011年05月20日,10091,1,,
2011年05月23日,10052,1,,
2011年05月24日,10034,1,,
2011年05月25日,10074,1,,
2011年05月26日,10098,9,,
2011年05月27日,10040,9,,
2011年05月30日,10059,9,,
2011年05月31日,10086,9,,
2011年06月01日,10169,9,,
2011年06月02日,10115,9,,
2011年06月03日,10135,9,,
2011年06月06日,10118,9,,
2011年06月07日,10084,9,,
2011年06月08日,10094,9,,
2011年06月09日,10065,9,,
2011年06月10日,10071,9,,
2011年06月13日,10033,9,,
2011年06月14日,10017,9,,
2011年06月15日,10055,1544,,
2011年06月16日,10024,1540,,
2011年06月17日,10009,1537,,
2011年06月20日,9969,1531,,
2011年06月21日,9990,1533,,
2011年06月22日,10004,1536,,
2011年06月23日,10000,1536,,
2011年06月24日,10009,1546,,
2011年06月27日,9994,1544,,
2011年06月28日,10026,1552,,
2011年06月29日,10053,1553,,
2011年06月30日,10051,1555,,
2011年07月01日,10060,1556,,
2011年07月04日,10081,1559,,
2011年07月05日,10084,1559,,
2011年07月06日,10074,1557,,
2011年07月07日,10042,1552,,
2011年07月08日,10069,1553,,
2011年07月11日,9977,1538,,
2011年07月12日,9870,1524,,
2011年07月13日,9792,1506,,
2011年07月14日,9782,1503,,
2011年07月15日,9787,1504,,
2011年07月19日,9760,1501,,
2011年07月20日,9817,1509,,
2011年07月21日,9790,1502,,
2011年07月22日,9820,1508,,
2011年07月25日,9798,1506,0.00,1
2011年07月26日,9772,1511,,
2011年07月27日,9794,1514,,
2011年07月28日,9755,1508,,
2011年07月29日,9727,1503,,
2011年08月01日,9806,1514,,
2011年08月02日,9719,1501,,
2011年08月03日,9691,1495,,
2011年08月04日,9968,1538,,
2011年08月05日,9915,1530,,
2011年08月08日,9873,1522,,
2011年08月09日,9826,1514,,
2011年08月10日,9876,1522,,
2011年08月11日,9834,1517,,
2011年08月12日,9811,1513,,
2011年08月15日,9861,1521,,
2011年08月16日,9885,1524,,
2011年08月17日,9870,1521,,
2011年08月18日,9912,1527,,
2011年08月19日,9951,1534,,
2011年08月22日,9952,1534,,
2011年08月23日,9954,1534,,
2011年08月24日,9971,1537,,
2011年08月25日,9931,1539,,
2011年08月26日,9994,1548,,
2011年08月29日,9951,1542,,
2011年08月30日,9973,1544,,
2011年08月31日,9930,1538,,
2011年09月01日,9910,1535,,
2011年09月02日,9894,1532,,
2011年09月05日,9866,1528,,
2011年09月06日,9860,1527,,
2011年09月07日,9909,1534,,
2011年09月08日,9915,1536,,
2011年09月09日,9911,1536,,
2011年09月12日,9811,1520,,
2011年09月13日,9770,1514,,
2011年09月14日,9734,1508,,
2011年09月15日,9708,1504,,
2011年09月16日,9722,1507,,
2011年09月20日,9689,1501,,
2011年09月21日,9655,1496,,
2011年09月22日,9653,1496,,
2011年09月26日,9641,1494,,
2011年09月27日,9584,1493,,
2011年09月28日,9607,1497,,
2011年09月29日,9582,1493,,
2011年09月30日,9636,1498,,
2011年10月03日,9640,1499,,
2011年10月04日,9574,1486,,
2011年10月05日,9620,1495,,
2011年10月06日,9612,1493,,
2011年10月07日,9601,1491,,
2011年10月11日,9652,1498,,
2011年10月12日,9608,1490,,
2011年10月13日,9705,1505,,
2011年10月14日,9670,1500,,
2011年10月17日,9735,1511,,
2011年10月18日,9667,1500,,
2011年10月19日,9653,1498,,
2011年10月20日,9657,1498,,
2011年10月21日,9643,1496,,
2011年10月24日,9614,1491,,
2011年10月25日,9620,1492,,
2011年10月26日,9635,1503,,
2011年10月27日,9666,1508,,
2011年10月28日,9684,1510,,
2011年10月31日,9874,1539,,
2011年11月01日,9903,1544,,
2011年11月02日,9890,1542,,
2011年11月04日,9882,1540,,
2011年11月07日,9890,1542,,
2011年11月08日,9869,1539,,
2011年11月09日,9843,1531,,
2011年11月10日,9744,1515,,
2011年11月11日,9713,1510,,
2011年11月14日,9746,1515,,
2011年11月15日,9668,1503,,
2011年11月16日,9581,1489,,
2011年11月17日,9550,1484,,
2011年11月18日,9569,1488,,
2011年11月21日,9577,1489,,
2011年11月22日,9581,1488,,
2011年11月24日,9514,1477,,
2011年11月25日,9506,1484,,
2011年11月28日,9501,1483,,
2011年11月29日,9600,1495,,
2011年11月30日,9621,1497,,
2011年12月01日,9618,1497,,
2011年12月02日,9681,1505,,
2011年12月05日,9725,1512,,
2011年12月06日,9729,1513,,
2011年12月07日,9710,1509,,
2011年12月08日,9728,1511,,
2011年12月09日,9686,1504,,
2011年12月12日,9681,1504,,
2011年12月13日,9664,1501,,
2011年12月14日,9630,1496,,
2011年12月15日,9644,1498,,
2011年12月16日,9660,1500,,
2011年12月19日,9686,1504,,
2011年12月20日,9713,1508,,
2011年12月21日,9731,1511,,
2011年12月22日,9712,1508,,
2011年12月26日,9688,1504,,
2011年12月27日,9705,1515,,
2011年12月28日,9693,1513,,
2011年12月29日,9666,1509,,
2011年12月30日,9668,1507,,
2012年01月04日,9556,1490,,
2012年01月05日,9507,1482,,
