年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2010年01月22日,100000,1000,,
2010年01月25日,99998,1000,,
2010年01月26日,99977,1000,,
2010年01月27日,98477,985,,
2010年01月28日,99076,991,,
2010年01月29日,97355,974,,
2010年02月01日,97453,975,,
2010年02月02日,99352,994,,
2010年02月03日,99932,999,,
2010年02月04日,99941,999,,
2010年02月05日,95311,953,,
2010年02月08日,93999,940,,
2010年02月09日,93858,939,,
2010年02月10日,95457,955,,
2010年02月12日,96156,962,,
2010年02月15日,96514,965,,
2010年02月16日,96533,965,,
2010年02月17日,98362,984,,
2010年02月18日,99631,996,,
2010年02月19日,100761,1008,,
2010年02月22日,101338,1013,,
2010年02月23日,100568,1006,,
2010年02月24日,98308,983,,
2010年02月25日,98637,986,,
2010年02月26日,97177,972,,
2010年03月01日,97445,974,,
2010年03月02日,98564,986,,
2010年03月03日,98643,986,,
2010年03月04日,98992,990,,
2010年03月05日,99871,999,,
2010年03月08日,102708,1027,,
2010年03月09日,102367,1024,,
2010年03月10日,102357,1024,,
2010年03月11日,103436,1034,,
2010年03月12日,103945,1039,,
2010年03月15日,104512,1045,,
2010年03月16日,103282,1033,,
2010年03月17日,104641,1046,,
2010年03月18日,105210,1052,,
2010年03月19日,104979,1050,,
2010年03月23日,104246,1042,,
2010年03月24日,105015,1050,,
2010年03月25日,105924,1059,,
2010年03月26日,106773,1068,,
2010年03月29日,106990,1070,,
2010年03月30日,107280,1073,,
2010年03月31日,108218,1082,,
2010年04月01日,108537,1085,,
2010年04月02日,110315,1103,,
2010年04月05日,110893,1109,,
2010年04月06日,111022,1110,,
2010年04月07日,110711,1107,,
2010年04月08日,109791,1098,,
2010年04月09日,110040,1100,,
2010年04月12日,111177,1112,,
2010年04月13日,110847,1441,,
2010年04月14日,111366,1448,,
2010年04月15日,112544,1463,,
2010年04月16日,111884,1454,,
2010年04月19日,108993,1417,,
2010年04月20日,109662,1426,,
2010年04月21日,111130,1445,,
2010年04月22日,110370,1435,,
2010年04月23日,110109,1431,,
