年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2010年10月22日,100000,1000,,
2010年10月25日,99999,1000,,
2010年10月26日,99928,999,,
2010年10月27日,100747,1007,,
2010年10月28日,100797,1008,,
2010年10月29日,99847,998,,
2010年11月01日,99516,995,,
2010年11月02日,99875,999,,
2010年11月04日,101714,1017,,
2010年11月05日,103312,1033,,
2010年11月08日,103911,1039,,
2010年11月09日,103690,1037,,
2010年11月10日,103630,1036,,
2010年11月11日,104459,1045,,
2010年11月12日,104469,1045,,
2010年11月15日,103238,1032,,
2010年11月16日,104107,1041,,
2010年11月17日,102537,1025,,
2010年11月18日,102607,1026,,
2010年11月19日,104855,1049,,
2010年11月22日,104804,1048,,
2010年11月24日,102804,1028,,
2010年11月25日,104453,1045,,
2010年11月26日,104882,1049,,
2010年11月29日,104171,1042,,
2010年11月30日,104620,1046,,
2010年12月01日,103310,1033,,
2010年12月02日,106069,1061,,
2010年12月03日,107198,1072,,
2010年12月06日,106137,1061,,
2010年12月07日,105637,1056,,
2010年12月08日,107036,1070,,
2010年12月09日,107975,1080,,
2010年12月10日,108144,1081,,
2010年12月13日,109002,1090,,
2010年12月14日,108532,1085,,
2010年12月15日,108951,1090,,
2010年12月16日,109041,1090,,
2010年12月17日,109370,1094,,
2010年12月20日,109379,1094,,
2010年12月21日,109168,1092,,
2010年12月22日,110127,1101,,
2010年12月24日,109497,1095,,
2010年12月27日,109205,1092,,
2010年12月28日,108935,1089,,
2010年12月29日,108445,1084,,
2010年12月30日,107485,1075,,
2011年01月04日,108722,1087,,
2011年01月05日,109051,1091,,
2011年01月06日,111420,1114,,
2011年01月07日,111249,1112,,
2011年01月11日,110228,1102,,
2011年01月12日,111207,1112,,
2011年01月13日,112066,1121,,
2011年01月14日,111476,1115,,
2011年01月17日,112374,1124,,
2011年01月18日,112123,1121,,
2011年01月19日,112353,1124,,
2011年01月20日,110363,1104,0.00,1
2011年01月21日,111352,1114,,
2011年01月24日,111171,1112,,
2011年01月25日,111840,1118,,
2011年01月26日,111190,1112,,
2011年01月27日,111439,1114,,
2011年01月28日,112678,1127,,
2011年01月31日,109708,1097,,
2011年02月01日,110537,1105,,
2011年02月02日,111486,1115,,
2011年02月03日,111476,1115,,
2011年02月04日,111775,1118,,
2011年02月07日,112983,1130,,
2011年02月08日,113782,1138,,
2011年02月09日,114271,1143,,
2011年02月10日,114310,1143,,
2011年02月14日,116097,1161,,
2011年02月15日,116207,1162,,
2011年02月16日,116666,1167,,
2011年02月17日,117035,1170,,
2011年02月18日,117165,1172,,
2011年02月21日,117183,1172,,
2011年02月22日,116953,1170,,
2011年02月23日,114374,1144,,
2011年02月24日,112874,1129,,
2011年02月25日,112164,1122,,
2011年02月28日,113202,1132,,
2011年03月01日,114161,1142,,
2011年03月02日,111972,1120,,
2011年03月03日,112281,1123,,
2011年03月04日,115059,1151,,
2011年03月07日,114258,1143,,
2011年03月08日,113118,1131,,
2011年03月09日,114966,1150,,
2011年03月10日,114456,1145,,
2011年03月11日,112747,1127,,
2011年03月14日,112645,1126,,
2011年03月15日,111395,1114,,
2011年03月16日,109106,1091,,
2011年03月17日,104938,1049,,
2011年03月18日,108855,1089,,
2011年03月22日,110442,1104,,
2011年03月23日,110082,1101,,
2011年03月24日,110332,1103,,
2011年03月25日,111470,1115,,
2011年03月28日,112618,1126,,
2011年03月29日,112048,1120,,
2011年03月30日,114476,1145,,
2011年03月31日,116055,1161,,
2011年04月01日,116254,1163,,
2011年04月04日,117772,1178,,
2011年04月05日,118161,1182,,
2011年04月06日,119120,1191,,
2011年04月07日,119679,1197,,
2011年04月08日,119249,1192,,
2011年04月11日,118557,1186,,
2011年04月12日,117288,1173,,
2011年04月13日,115868,1159,,
2011年04月14日,115488,1155,,
2011年04月15日,115597,1156,,
2011年04月18日,115576,1156,,
2011年04月19日,113446,1134,,
2011年04月20日,114315,1143,,
2011年04月21日,115243,1152,,
2011年04月22日,114733,1147,,
2011年04月25日,115311,1153,,
2011年04月26日,114751,1148,,
2011年04月27日,115170,1152,,
2011年04月28日,116888,1169,,
2011年05月02日,116316,1163,,
2011年05月06日,113178,1132,,
2011年05月09日,113506,1135,,
2011年05月10日,113645,1136,,
2011年05月11日,115473,1155,,
2011年05月12日,114503,1145,,
2011年05月13日,115092,1151,,
2011年05月16日,113762,1138,,
2011年05月17日,113192,1132,,
2011年05月18日,113731,1137,,
2011年05月19日,115209,1152,,
2011年05月20日,115638,1156,,
2011年05月23日,114567,1146,,
2011年05月24日,113588,1136,,
2011年05月25日,113737,1137,,
2011年05月26日,113797,1138,,
2011年05月27日,113576,1136,,
2011年05月30日,113385,1134,,
2011年05月31日,113375,1134,,
2011年06月01日,115372,1154,,
2011年06月02日,112175,1122,,
2011年06月03日,111835,1118,,
2011年06月06日,109646,1096,,
2011年06月07日,108686,1087,,
2011年06月08日,108606,1086,,
2011年06月09日,107776,1078,,
2011年06月10日,109035,1090,,
2011年06月13日,107645,1076,,
2011年06月14日,107534,1075,,
2011年06月15日,109571,1096,,
2011年06月16日,107943,1079,,
2011年06月17日,107922,1079,,
2011年06月20日,107521,1075,,
2011年06月21日,108140,1081,,
2011年06月22日,109428,1094,,
2011年06月23日,109028,1090,,
2011年06月24日,108888,1089,,
2011年06月27日,108177,1082,,
2011年06月28日,109106,1091,,
2011年06月29日,111023,1110,,
2011年06月30日,111462,1115,,
2011年07月01日,112580,1126,,
2011年07月04日,114107,1141,,
2011年07月05日,114227,1142,,
2011年07月06日,114506,1145,,
2011年07月07日,114535,1145,,
2011年07月08日,116313,1163,,
2011年07月11日,114593,1146,,
2011年07月12日,111975,1120,,
2011年07月13日,110347,1103,,
2011年07月14日,109417,1094,,
2011年07月15日,109487,1095,,
2011年07月19日,108815,1088,,
2011年07月20日,110853,1109,,
2011年07月21日,110213,1102,,
2011年07月22日,111781,1118,,
2011年07月25日,111310,1113,,
2011年07月26日,110500,1105,,
2011年07月27日,109341,1093,,
2011年07月28日,107193,1072,,
2011年07月29日,106863,1069,,
2011年08月01日,106292,1063,,
2011年08月02日,104933,1049,,
2011年08月03日,102096,1021,,
2011年08月04日,105062,1051,,
2011年08月05日,100367,1004,,
2011年08月08日,99017,990,,
2011年08月09日,91115,911,,
2011年08月10日,95590,956,,
2011年08月11日,91714,917,,
2011年08月12日,95249,952,,
2011年08月15日,95957,960,,
2011年08月16日,97565,976,,
2011年08月17日,96935,969,,
2011年08月18日,96595,966,,
2011年08月19日,93051,931,,
2011年08月22日,91303,913,,
2011年08月23日,91362,914,,
2011年08月24日,94307,943,,
2011年08月25日,95494,955,,
2011年08月26日,94905,949,,
2011年08月29日,95552,956,,
2011年08月30日,98367,984,,
2011年08月31日,97877,979,,
2011年09月01日,99274,993,,
2011年09月02日,97886,979,,
2011年09月05日,95100,951,,
2011年09月06日,95249,952,,
2011年09月07日,95498,955,,
2011年09月08日,98193,982,,
2011年09月09日,97364,974,,
2011年09月12日,95087,951,,
2011年09月13日,95047,950,,
2011年09月14日,95386,954,,
2011年09月15日,96513,965,,
2011年09月16日,98409,984,,
2011年09月20日,97669,977,,
2011年09月21日,97020,970,,
2011年09月22日,94374,944,,
2011年09月26日,92126,921,,
2011年09月27日,94022,940,,
2011年09月28日,95170,952,,
2011年09月29日,93472,935,,
2011年09月30日,94301,943,,
2011年10月03日,92423,924,,
2011年10月04日,88709,887,,
2011年10月05日,90954,910,,
2011年10月06日,92751,928,,
2011年10月07日,94487,945,,
2011年10月11日,97211,972,,
2011年10月12日,97091,971,,
2011年10月13日,98378,984,,
2011年10月14日,98108,981,,
2011年10月17日,100253,1003,,
2011年10月18日,97637,976,,
2011年10月19日,99803,998,,
2011年10月20日,98674,987,,
2011年10月21日,98884,989,,
2011年10月24日,100310,1003,,
2011年10月25日,101138,1011,,
2011年10月26日,99161,992,,
2011年10月27日,100408,1004,,
2011年10月28日,103652,1037,,
2011年10月31日,105917,1059,,
2011年11月01日,104010,1040,,
2011年11月02日,101893,1019,,
2011年11月04日,104208,1042,,
2011年11月07日,103977,1040,,
2011年11月08日,104386,1044,,
2011年11月09日,105234,1052,,
2011年11月10日,101460,1015,,
2011年11月11日,102108,1021,,
2011年11月14日,103634,1036,,
2011年11月15日,102726,1027,,
2011年11月16日,102815,1028,,
2011年11月17日,100888,1009,,
2011年11月18日,99500,995,,
2011年11月21日,99289,993,,
2011年11月22日,97511,975,,
2011年11月24日,95145,951,,
2011年11月25日,95444,954,,
2011年11月28日,95263,953,,
2011年11月29日,99076,991,,
2011年11月30日,99415,994,,
2011年12月01日,102888,1029,,
2011年12月02日,102838,1028,,
2011年12月05日,103276,1033,,
2011年12月06日,103834,1038,,
2011年12月07日,103674,1037,,
2011年12月08日,104412,1044,,
2011年12月09日,102186,1022,,
2011年12月12日,103981,1144,,
2011年12月13日,102404,1126,,
2011年12月14日,101705,1119,,
2011年12月15日,100657,1107,,
2011年12月16日,100806,1109,,
2011年12月19日,100765,1108,,
2011年12月20日,99966,1100,,
2011年12月21日,102869,1132,,
2011年12月22日,103208,1135,,
2011年12月26日,104972,1155,,
2011年12月27日,105071,1156,,
2011年12月28日,104801,1153,,
2011年12月29日,103644,1140,,
2011年12月30日,104461,1149,,
2012年01月04日,104259,1147,,
2012年01月05日,104419,1149,,
2012年01月06日,105017,1155,,
2012年01月10日,104785,1153,,
2012年01月11日,105683,1163,,
2012年01月12日,105892,1165,,
2012年01月13日,106031,1166,,
2012年01月16日,105860,1164,,
2012年01月17日,105890,1165,,
2012年01月18日,105799,1164,,
2012年01月19日,106826,1175,,
2012年01月20日,108013,1188,0.00,2
2012年01月23日,107852,1186,,
2012年01月24日,107882,1187,,
2012年01月25日,109008,1199,,
2012年01月26日,109716,1207,,
2012年01月27日,108768,1196,,
2012年01月30日,107689,1185,,
2012年01月31日,106821,1175,,
2012年02月01日,106451,1171,,
2012年02月02日,107378,1181,,
2012年02月03日,107757,1185,,
2012年02月06日,109502,1205,,
2012年02月07日,109541,1205,,
2012年02月08日,110508,1216,,
2012年02月09日,110997,1221,,
