年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2005年01月06日,115137,437994,,
2005年01月07日,114898,437085,,
2005年01月11日,116050,441465,,
2005年01月12日,115109,460936,,
2005年01月13日,114331,457819,,
2005年01月14日,114892,454315,,
2005年01月17日,115352,456135,,
2005年01月18日,114849,454145,,
2005年01月19日,114755,453772,,
2005年01月20日,113653,449417,,
2005年01月21日,113545,466033,,
2005年01月24日,114243,468895,,
2005年01月25日,114135,468455,,
2005年01月26日,114820,471264,,
2005年01月27日,114522,470041,,
2005年01月28日,114410,469583,,
2005年01月31日,114941,471763,,
2005年02月01日,114979,471918,,
2005年02月02日,115532,474187,,
2005年02月03日,115284,473171,,
2005年02月04日,114886,488784,,
2005年02月07日,115757,492486,,
2005年02月08日,115863,492940,,
2005年02月09日,115912,493146,,
2005年02月10日,116396,495205,,
2005年02月14日,117178,492673,,
2005年02月15日,117152,492564,,
2005年02月16日,116838,491244,,
2005年02月17日,116526,489929,,
2005年02月18日,116988,491875,,
2005年02月21日,117003,439270,,
2005年02月22日,116580,426022,,
2005年02月23日,115648,422614,,
2005年02月24日,116103,424279,,
2005年02月25日,117090,427884,,
2005年02月28日,118098,431567,,
2005年03月01日,118355,432507,,
2005年03月02日,118929,434603,,
2005年03月03日,119305,441946,,
2005年03月04日,119570,436947,,
2005年03月07日,120351,439802,,
2005年03月08日,119907,438180,,
2005年03月09日,120424,440068,,
2005年03月10日,119906,438175,,
2005年03月11日,120364,439847,,
2005年03月14日,119908,438181,,
2005年03月15日,119645,437223,,
2005年03月16日,120187,439203,,
2005年03月17日,119592,437030,,
2005年03月18日,120682,441011,,
2005年03月22日,120613,434726,,
2005年03月23日,119736,431564,,
2005年03月24日,119203,429643,,
2005年03月25日,119727,431533,,
2005年03月28日,120406,433980,,
2005年03月29日,118543,427267,,
2005年03月30日,117892,424920,,
2005年03月31日,119208,429663,,
2005年04月01日,119642,431228,,
2005年04月04日,119299,429990,,
2005年04月05日,119969,432404,,
2005年04月06日,120621,434756,,
2005年04月07日,120704,435055,,
2005年04月08日,121136,436611,,
2005年04月11日,120026,432610,,
2005年04月12日,118932,428666,,
2005年04月13日,118630,427580,,
2005年04月14日,117822,424665,,
2005年04月15日,116039,418241,,
2005年04月18日,111889,403283,,
2005年04月19日,113599,409445,,
2005年04月20日,114123,411335,,
2005年04月21日,113298,414030,,
2005年04月22日,114021,428080,,
2005年04月25日,114164,428619,,
2005年04月26日,114076,428287,,
2005年04月27日,113966,427873,,
2005年04月28日,113958,427845,,
2005年05月02日,114138,428518,,
2005年05月06日,116028,435614,,
2005年05月09日,116199,436255,,
2005年05月10日,115928,435239,,
2005年05月11日,115496,433616,,
2005年05月12日,114986,431704,,
2005年05月13日,114427,429604,,
2005年05月16日,113278,425291,,
2005年05月17日,112117,420932,,
2005年05月18日,111845,419910,,
2005年05月19日,114081,428305,,
2005年05月20日,113923,427713,,
2005年05月23日,114720,430703,,
2005年05月24日,114580,430181,,
2005年05月25日,113418,425817,,
2005年05月26日,113303,425383,,
2005年05月27日,114192,428722,,
2005年05月30日,115145,432298,,
2005年05月31日,115396,433241,,
2005年06月01日,115926,435233,,
2005年06月02日,115846,434932,,
2005年06月03日,115758,434600,,
2005年06月06日,115510,433670,,
2005年06月07日,115110,432170,,
2005年06月08日,115842,434918,,
2005年06月09日,114853,454210,,
2005年06月10日,115865,458212,,
2005年06月13日,115944,458526,,
2005年06月14日,116026,458851,,
2005年06月15日,116808,461943,,
2005年06月16日,117043,462874,,
2005年06月17日,118229,467564,,
2005年06月20日,118066,466919,,
2005年06月21日,117917,519443,,
2005年06月22日,118328,521255,,
2005年06月23日,118422,521670,,
2005年06月24日,118363,521408,,
2005年06月27日,117219,516369,,
2005年06月28日,118073,520132,,
2005年06月29日,118743,523082,,
2005年06月30日,118877,523675,,
2005年07月01日,119333,525683,,
2005年07月04日,119773,527620,,
2005年07月05日,119514,526477,,
2005年07月06日,119513,526476,,
2005年07月07日,119174,524981,,
2005年07月08日,117744,518682,1154.00,
2005年07月11日,118489,521962,,
2005年07月12日,118593,522423,,
2005年07月13日,118561,522279,,
2005年07月14日,119116,524725,,
2005年07月15日,119327,525653,,
2005年07月19日,119157,524905,,
2005年07月20日,119632,527000,,
2005年07月21日,119479,526326,,
2005年07月22日,118680,522804,,
2005年07月25日,119015,488801,,
2005年07月26日,118906,488353,,
2005年07月27日,119888,492386,,
2005年07月28日,120173,493555,,
2005年07月29日,120489,494853,,
2005年08月01日,121156,497593,,
2005年08月02日,120914,496599,,
2005年08月03日,121198,497767,,
2005年08月04日,120417,494558,,
2005年08月05日,118927,488438,,
2005年08月08日,119193,489530,,
2005年08月09日,120628,489428,,
2005年08月10日,122779,498159,,
2005年08月11日,124377,504639,,
2005年08月12日,124518,505213,,
2005年08月15日,124870,506639,,
2005年08月16日,125204,507997,,
2005年08月17日,125010,507209,,
2005年08月18日,125297,508374,,
2005年08月19日,125048,507364,,
2005年08月22日,126980,515200,,
2005年08月23日,127199,509851,,
2005年08月24日,127563,511309,,
2005年08月25日,126809,508288,,
2005年08月26日,127268,510129,,
2005年08月29日,125879,504561,,
2005年08月30日,127380,510577,,
2005年08月31日,127143,509628,,
2005年09月01日,127749,512056,,
2005年09月02日,128313,514316,,
2005年09月05日,129090,517429,,
2005年09月06日,128654,515682,,
2005年09月07日,128581,502509,,
2005年09月08日,127924,499944,,
2005年09月09日,129360,499076,,
2005年09月12日,131008,505434,,
2005年09月13日,131609,507751,,
2005年09月14日,131268,506435,,
2005年09月15日,132758,512186,,
2005年09月16日,132891,512697,,
2005年09月20日,135295,521972,,
2005年09月21日,135805,510338,,
2005年09月22日,135662,509804,,
2005年09月26日,138685,521162,,
2005年09月27日,138177,519254,,
2005年09月28日,140681,528665,,
2005年09月29日,143364,538744,,
2005年09月30日,141774,532770,,
2005年10月03日,141937,533385,,
2005年10月04日,143001,537383,,
2005年10月05日,141772,518600,,
2005年10月06日,137919,504503,,
2005年10月07日,138033,498026,,
2005年10月11日,141381,510107,,
2005年10月12日,141500,510535,,
2005年10月13日,141560,503682,,
2005年10月14日,140595,500248,,
2005年10月17日,140119,498555,,
2005年10月18日,140043,498284,,
2005年10月19日,138772,493759,,
2005年10月20日,139166,495163,,
2005年10月21日,139287,495594,,
2005年10月24日,138443,506463,,
2005年10月25日,140154,512723,,
2005年10月26日,141548,517824,,
2005年10月27日,143179,523788,,
2005年10月28日,142766,522281,,
2005年10月31日,145270,531440,,
2005年11月01日,148098,541787,,
2005年11月02日,148225,542249,,
2005年11月04日,150300,549842,,
2005年11月07日,150733,551426,,
2005年11月08日,150567,550817,,
2005年11月09日,149596,554752,,
2005年11月10日,149249,553466,,
2005年11月11日,150285,617437,,
2005年11月14日,148856,611564,,
2005年11月15日,148068,608326,,
2005年11月16日,149445,613983,,
2005年11月17日,151878,639188,,
2005年11月18日,153993,648089,,
2005年11月21日,153625,631159,,
2005年11月22日,153503,622976,,
2005年11月24日,152585,619247,,
2005年11月25日,153812,624228,,
2005年11月28日,155232,629992,,
2005年11月29日,155332,630396,,
2005年11月30日,154488,626970,,
2005年12月01日,156860,636598,,
2005年12月02日,159278,646413,,
2005年12月05日,160668,652052,,
2005年12月06日,160050,681586,,
2005年12月07日,160797,684768,,
2005年12月08日,157805,743094,,
2005年12月09日,160069,785802,,
2005年12月12日,162716,798798,,
2005年12月13日,163583,803053,,
2005年12月14日,161154,807254,,
2005年12月15日,159321,798077,,
2005年12月16日,158991,796421,,
2005年12月19日,159890,800923,,
2005年12月20日,162374,813368,,
2005年12月21日,164598,824509,,
2005年12月22日,164760,825319,,
2005年12月26日,165886,839259,,
2005年12月27日,164821,833870,,
2005年12月28日,166443,842080,,
2005年12月29日,167427,847056,,
2005年12月30日,166019,839936,,
2006年01月04日,168365,851801,,
2006年01月05日,169574,857917,,
2006年01月06日,169543,857761,,
2006年01月10日,166950,844643,,
2006年01月11日,168280,851371,,
2006年01月12日,169472,857405,,
2006年01月13日,169194,855997,,
2006年01月16日,168059,816635,,
2006年01月17日,164186,797812,,
2006年01月18日,158445,769917,,
2006年01月19日,163024,792166,,
2006年01月20日,163465,794309,,
2006年01月23日,159776,696474,,
2006年01月24日,162271,707349,,
2006年01月25日,162863,718077,,
2006年01月26日,165372,729138,,
2006年01月27日,170091,749944,,
2006年01月30日,171469,756023,,
2006年01月31日,172155,759045,,
2006年02月01日,170463,751587,,
2006年02月02日,172184,750553,,
2006年02月03日,171865,749164,,
2006年02月06日,172295,751039,,
2006年02月07日,172423,751596,,
2006年02月08日,168174,733073,,
2006年02月09日,169287,737924,,
2006年02月10日,167050,728177,,
2006年02月13日,162817,717869,,
2006年02月14日,164547,725497,,
2006年02月15日,163431,720576,,
2006年02月16日,164171,723837,,
2006年02月17日,161539,712234,,
2006年02月20日,158190,697467,,
2006年02月21日,162275,723599,,
2006年02月22日,161959,738395,,
2006年02月23日,165107,752748,,
2006年02月24日,165827,756029,,
2006年02月27日,166731,760152,,
2006年02月28日,167092,761796,,
2006年03月01日,164578,750336,,
2006年03月02日,164256,748870,,
2006年03月03日,162336,740114,,
2006年03月06日,163688,746279,,
2006年03月07日,162814,742292,,
2006年03月08日,161610,736804,,
2006年03月09日,165119,752804,,
2006年03月10日,165765,755746,,
2006年03月13日,168530,768356,,
2006年03月14日,167615,764184,,
2006年03月15日,167716,764643,,
2006年03月16日,165561,754817,,
2006年03月17日,167449,763424,,
2006年03月20日,169878,774498,,
2006年03月22日,169691,773648,,
2006年03月23日,169076,770843,,
2006年03月24日,169999,775052,,
2006年03月27日,170428,777009,,
2006年03月28日,171143,780266,,
2006年03月29日,173074,789069,,
2006年03月30日,174590,795980,,
2006年03月31日,174786,796878,,
2006年04月03日,177423,808899,,
2006年04月04日,176908,806553,,
2006年04月05日,176564,804981,,
2006年04月06日,179556,818624,,
2006年04月07日,180375,822358,,
2006年04月10日,179713,819340,,
2006年04月11日,178999,816084,,
2006年04月12日,176233,803474,,
2006年04月13日,176327,795314,,
2006年04月14日,176353,795429,,
2006年04月17日,173837,792784,,
2006年04月18日,176118,803186,,
2006年04月19日,176697,805828,,
2006年04月20日,176753,806083,,
2006年04月21日,177589,809895,,
2006年04月24日,172978,840800,,
2006年04月25日,173889,845229,,
2006年04月26日,174256,847015,,
2006年04月27日,174869,849995,,
2006年04月28日,173548,843572,,
2006年05月01日,173630,843971,,
2006年05月02日,175621,853648,,
2006年05月08日,177450,862539,,
2006年05月09日,176686,858827,,
2006年05月10日,174432,847868,,
2006年05月11日,173040,841105,,
2006年05月12日,170721,829831,,
2006年05月15日,170054,826588,,
2006年05月16日,166328,808478,,
2006年05月17日,167553,814431,,
2006年05月18日,165037,802202,,
2006年05月19日,165678,805316,,
2006年05月22日,163389,794193,,
2006年05月23日,159677,776150,,
2006年05月24日,162404,789403,,
2006年05月25日,160231,778841,,
2006年05月26日,163181,793181,,
2006年05月29日,163421,794347,,
2006年05月30日,163084,792710,,
2006年05月31日,159757,776539,,
2006年06月01日,160242,778893,,
2006年06月02日,162397,789371,,
2006年06月05日,161279,735917,,
2006年06月06日,158496,723218,,
2006年06月07日,155077,707618,,
2006年06月08日,149875,676454,,
2006年06月09日,151559,684054,,
2006年06月12日,152789,689605,,
2006年06月13日,147475,665621,,
2006年06月14日,148260,661742,,
2006年06月15日,150261,670675,,
2006年06月16日,155186,692658,,
2006年06月19日,154491,689553,,
2006年06月20日,152753,681799,,
2006年06月21日,152262,679608,,
2006年06月22日,156637,699132,,
2006年06月23日,156298,697623,,
2006年06月26日,156695,699393,,
2006年06月27日,156761,699686,,
2006年06月28日,154582,689962,,
2006年06月29日,156636,699129,,
2006年06月30日,160682,717186,,
2006年07月03日,161329,720075,,
2006年07月04日,162234,724115,,
2006年07月05日,160981,718522,,
2006年07月06日,159181,710490,,
2006年07月07日,159289,710971,,
2006年07月08日,157678,703780,1611.00,
2006年07月10日,159765,713095,,
2006年07月11日,158932,709375,,
2006年07月12日,156716,699488,,
2006年07月13日,155440,693793,,
2006年07月14日,152508,680702,,
2006年07月18日,147851,659919,,
2006年07月19日,147879,660043,,
2006年07月20日,153185,683728,,
2006年07月21日,151900,677990,,
2006年07月24日,151770,677412,,
2006年07月25日,153818,678867,,
2006年07月26日,152394,672579,,
2006年07月27日,154523,681976,,
2006年07月28日,156291,689781,,
2006年07月31日,157550,695336,,
2006年08月01日,157048,693121,,
2006年08月02日,157330,694367,,
2006年08月03日,157310,694276,,
2006年08月04日,157513,695171,,
2006年08月07日,154372,681311,,
2006年08月08日,156618,691222,,
2006年08月09日,158187,698148,,
2006年08月10日,158632,700113,,
2006年08月11日,158145,697962,,
2006年08月14日,160445,708115,,
2006年08月15日,160887,710066,,
2006年08月16日,163329,720843,,
2006年08月17日,163518,721677,,
2006年08月18日,164501,726013,,
2006年08月21日,162765,718351,,
2006年08月22日,164532,726153,,
2006年08月23日,164390,725524,,
2006年08月24日,162647,717834,,
2006年08月25日,162343,716491,,
2006年08月28日,160400,707916,,
2006年08月29日,161969,714840,,
2006年08月30日,161649,713429,,
2006年08月31日,163823,723021,,
2006年09月01日,163729,722609,,
2006年09月04日,165313,729597,,
2006年09月05日,165524,730530,,
2006年09月06日,164669,726757,,
2006年09月07日,161733,713796,,
2006年09月08日,162375,716633,,
2006年09月11日,160026,698306,,
2006年09月12日,158958,693642,,
2006年09月13日,158727,692633,,
2006年09月14日,160172,698943,,
2006年09月15日,159735,697032,,
2006年09月19日,159577,696345,,
2006年09月20日,157404,686860,,
2006年09月21日,158380,691121,,
2006年09月22日,156731,683927,,
2006年09月25日,156336,682200,,
2006年09月26日,155944,680490,,
2006年09月27日,160119,698710,,
2006年09月28日,161289,703814,,
2006年09月29日,162112,707408,,
2006年10月02日,163561,713731,,
2006年10月03日,162815,710473,,
2006年10月04日,161230,703558,,
2006年10月05日,164348,717162,,
2006年10月06日,164471,717702,,
2006年10月10日,164528,717947,,
2006年10月11日,163234,712304,,
2006年10月12日,162391,708622,,
2006年10月13日,163820,714860,,
2006年10月16日,165646,722828,,
2006年10月17日,164835,719290,,
2006年10月18日,164922,719669,,
2006年10月19日,164596,718247,,
2006年10月20日,165466,722040,,
2006年10月23日,166984,728666,,
2006年10月24日,167290,730001,,
2006年10月25日,166369,734293,,
2006年10月26日,167515,739354,,
2006年10月27日,166134,733258,,
2006年10月30日,163110,719908,,
2006年10月31日,162795,718519,,
2006年11月01日,163289,720698,,
2006年11月02日,162950,719202,,
2006年11月06日,162728,718225,,
2006年11月07日,162715,718165,,
2006年11月08日,160787,709658,,
2006年11月09日,159920,705830,,
2006年11月10日,159145,702411,,
2006年11月13日,157906,696940,,
2006年11月14日,160654,709070,,
2006年11月15日,160236,707226,,
2006年11月16日,159230,702785,,
2006年11月17日,158373,699004,,
2006年11月20日,154389,681417,,
2006年11月21日,154279,680931,,
2006年11月22日,156286,682021,,
2006年11月24日,154800,675538,,
2006年11月27日,156331,682219,,
2006年11月28日,156537,683116,,
2006年11月29日,159037,694028,,
2006年11月30日,161388,704286,,
2006年12月01日,161576,705108,,
2006年12月04日,161860,706346,,
2006年12月05日,160986,702532,,
2006年12月06日,162631,709710,,
2006年12月07日,163392,713031,,
2006年12月08日,162779,710356,,
2006年12月11日,163934,715396,,
2006年12月12日,164817,719250,,
2006年12月13日,165055,720290,,
2006年12月14日,166356,725967,,
2006年12月15日,166937,728501,,
2006年12月18日,167702,731842,,
2006年12月19日,165698,723095,,
2006年12月20日,167862,732537,,
2006年12月21日,168322,734548,,
2006年12月22日,168400,734886,,
2006年12月25日,167657,731644,,
2006年12月26日,168492,735287,,
2006年12月27日,168934,737219,,
2006年12月28日,169154,738177,,
2006年12月29日,169375,739140,,
2007年01月04日,171165,746954,,
2007年01月05日,168798,736625,,
2007年01月09日,170480,743962,,
2007年01月10日,167571,731267,,
2007年01月11日,166928,728464,,
2007年01月12日,169785,740933,,
2007年01月15日,171730,749419,,
2007年01月16日,171625,748959,,
2007年01月17日,171960,750421,,
2007年01月18日,172815,754155,,
2007年01月19日,172710,753693,,
2007年01月22日,174333,760777,,
2007年01月23日,174376,760967,,
2007年01月24日,175159,764384,,
2007年01月25日,174244,760391,,
2007年01月26日,174105,759784,,
2007年01月29日,174680,762293,,
2007年01月30日,174461,761337,,
2007年01月31日,173495,757120,,
2007年02月01日,175147,764328,,
2007年02月02日,175556,766114,,
2007年02月05日,172924,754630,,
2007年02月06日,174544,735540,,
2007年02月07日,174149,733873,,
2007年02月08日,173312,730348,,
2007年02月09日,175796,740817,,
2007年02月13日,176935,745613,,
2007年02月14日,177852,749478,,
2007年02月15日,178989,754269,,
2007年02月16日,178788,753424,,
2007年02月19日,179333,755719,,
2007年02月20日,179616,756915,,
2007年02月21日,180072,741503,,
2007年02月22日,181644,747976,,
2007年02月23日,182878,753056,,
2007年02月26日,183072,753853,,
2007年02月27日,182507,751529,,
2007年02月28日,176649,727406,,
2007年03月01日,175341,722022,,
2007年03月02日,173464,714290,,
2007年03月05日,167539,681520,,
2007年03月06日,170557,693796,,
2007年03月07日,170267,692617,,
2007年03月08日,173410,705403,,
2007年03月09日,174353,692223,,
2007年03月12日,175470,696658,,
2007年03月13日,173874,690320,,
2007年03月14日,168787,670125,,
2007年03月15日,170722,677806,,
2007年03月16日,168984,670908,,
2007年03月19日,170727,677826,,
2007年03月20日,172131,683403,,
2007年03月22日,174500,701529,,
2007年03月23日,175529,661975,,
2007年03月26日,175471,679294,,
2007年03月27日,174584,675860,,
2007年03月28日,173267,670762,,
2007年03月29日,173254,670709,,
2007年03月30日,173571,671936,,
2007年04月02日,170420,659737,,
2007年04月03日,172630,668294,,
2007年04月04日,175265,678495,,
2007年04月05日,174286,674704,,
2007年04月06日,173912,707992,,
2007年04月09日,176042,716661,,
2007年04月10日,175792,715643,,
2007年04月11日,176131,717026,,
2007年04月12日,174827,711716,,
2007年04月13日,172733,703191,,
2007年04月16日,174779,720250,,
2007年04月17日,173818,724967,,
2007年04月18日,175278,731059,,
2007年04月19日,172890,721100,,
2007年04月20日,173179,722304,,
2007年04月23日,172767,729216,,
2007年04月24日,172800,729353,,
2007年04月25日,170891,721297,,
2007年04月26日,172520,728169,,
2007年04月27日,172267,727102,,
2007年05月01日,171502,723876,,
2007年05月02日,172613,728565,,
2007年05月07日,175518,740825,,
2007年05月08日,175477,758218,,
2007年05月09日,176737,763662,,
2007年05月10日,175923,760145,,
2007年05月11日,174524,754099,,
2007年05月14日,175311,757500,,
2007年05月15日,173480,749587,,
2007年05月16日,173396,749227,,
2007年05月17日,172918,747161,,
2007年05月18日,171749,742110,,
2007年05月21日,173262,748647,,
2007年05月22日,175369,757750,,
2007年05月23日,176236,761498,,
2007年05月24日,176031,760611,,
2007年05月25日,173755,750778,,
2007年05月28日,174661,754690,,
2007年05月29日,176027,760596,,
2007年05月30日,175608,758782,,
2007年05月31日,177836,768410,,
2007年06月01日,179076,773769,,
2007年06月04日,179572,775911,,
2007年06月05日,179964,750608,,
2007年06月06日,180169,751462,,
2007年06月07日,180284,760941,,
2007年06月08日,177910,742040,,
2007年06月11日,178397,744071,,
2007年06月12日,177460,757874,,
2007年06月13日,176855,764118,,
2007年06月14日,177952,768857,,
2007年06月15日,179611,776023,,
2007年06月18日,181161,782723,,
2007年06月19日,180379,779341,,
2007年06月20日,180696,780710,,
2007年06月21日,181251,828502,,
2007年06月22日,180130,877482,,
2007年06月25日,178814,826523,,
2007年06月26日,179005,827408,,
2007年06月27日,176502,815836,,
2007年06月28日,177549,820678,,
2007年06月29日,180002,832016,,
2007年07月02日,180559,834588,,
2007年07月03日,180713,835301,,
2007年07月04日,180773,835580,,
2007年07月05日,181349,838239,,
2007年07月06日,180511,834366,,
2007年07月08日,178747,826215,1763.00,6
2007年07月09日,179996,831985,,
2007年07月10日,179681,830533,,
2007年07月11日,177522,820553,,
2007年07月12日,177054,818387,,
2007年07月13日,179081,827757,,
2007年07月17日,178562,825359,,
2007年07月18日,176624,816401,,
2007年07月19日,177558,820718,,
2007年07月20日,178374,824490,,
2007年07月23日,176464,815664,,
2007年07月24日,177377,819880,,
2007年07月25日,176168,761419,,
2007年07月26日,174490,754169,,
2007年07月27日,170701,737791,,
2007年07月30日,171307,740410,,
2007年07月31日,171325,740488,,
2007年08月01日,167592,724352,,
2007年08月02日,167619,724471,,
2007年08月03日,167987,700915,,
2007年08月06日,167507,698912,,
2007年08月07日,166736,695695,,
2007年08月08日,167615,707906,,
2007年08月09日,169035,713904,,
2007年08月10日,164124,693162,,
2007年08月13日,163969,692505,,
2007年08月14日,164448,694529,,
2007年08月15日,160103,676179,,
2007年08月16日,157454,664990,,
2007年08月17日,148677,627923,,
2007年08月20日,152991,646141,,
2007年08月21日,155633,641783,,
2007年08月22日,155161,639833,,
2007年08月23日,159853,659184,,
2007年08月24日,159224,648807,,
2007年08月27日,159476,649835,,
2007年08月28日,159154,648524,,
2007年08月29日,156464,637563,,
2007年08月30日,157518,641856,,
2007年08月31日,161544,658261,,
2007年09月03日,161236,657007,,
2007年09月04日,160379,653514,,
2007年09月05日,157633,642325,,
2007年09月06日,157549,673532,,
2007年09月07日,156386,668559,,
2007年09月10日,153201,654944,,
2007年09月11日,153897,657917,,
2007年09月12日,153495,656200,,
2007年09月13日,152930,653785,,
2007年09月14日,155137,663217,,
2007年09月18日,151766,648808,,
2007年09月19日,157419,672976,,
2007年09月20日,157340,672638,,
2007年09月21日,155875,658600,,
2007年09月25日,158197,668413,,
2007年09月26日,159129,672352,,
