年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2005年01月05日,10080,1,,
2005年01月06日,10080,1,,
2005年01月07日,10080,1,,
2005年01月11日,10110,1,,
2005年01月12日,10135,1,,
2005年01月13日,10130,1,,
2005年01月14日,10120,1,,
2005年01月17日,10101,1,,
2005年01月18日,10126,1,,
2005年01月19日,10135,1,,
2005年01月20日,10135,1,,
2005年01月21日,10140,1,,
2005年01月24日,10138,1,,
2005年01月25日,10148,1,,
2005年01月26日,10142,1,,
2005年01月27日,10144,1,,
2005年01月28日,10164,1,,
2005年01月31日,10148,1,,
2005年02月01日,10173,1,,
2005年02月02日,10198,1,,
2005年02月03日,10163,1,,
2005年02月04日,10159,1,,
2005年02月07日,10149,1,,
2005年02月08日,10144,1,,
2005年02月09日,10100,1,,
2005年02月10日,10066,1,,
2005年02月14日,10032,1,,
2005年02月15日,10022,1,,
2005年02月16日,10057,1,,
2005年02月17日,10072,1,,
2005年02月18日,10062,1,,
2005年02月21日,10038,1,,
2005年02月22日,10053,1,,
2005年02月23日,10080,1,,
2005年02月24日,10080,1,,
2005年02月25日,10056,1,,
2005年02月28日,10024,1,,
2005年03月01日,10014,1,,
2005年03月02日,10009,1,,
2005年03月03日,10000,1,,
2005年03月04日,10010,1,,
2005年03月07日,10026,1,,
2005年03月08日,10031,1,,
2005年03月09日,10031,1,,
2005年03月10日,10051,1,,
2005年03月11日,10041,1,,
2005年03月14日,10017,1,,
2005年03月15日,10051,1,,
2005年03月16日,10041,1,,
2005年03月17日,10091,1,,
2005年03月18日,10086,1,,
2005年03月22日,10076,1,,
2005年03月23日,10096,1,,
2005年03月24日,10110,1,,
2005年03月25日,10125,1,,
2005年03月28日,10133,1,,
2005年03月29日,10157,1,,
2005年03月30日,10180,1,,
2005年03月31日,10198,1,,
2005年04月01日,10195,1,,
2005年04月04日,10190,1,,
2005年04月05日,10166,1,,
2005年04月06日,10161,1,,
2005年04月07日,10181,1,,
2005年04月08日,10171,1,,
2005年04月11日,10175,1,,
2005年04月12日,10195,1,,
2005年04月13日,10190,1,,
2005年04月14日,10196,1,,
2005年04月15日,10207,1,,
2005年04月18日,10237,1,,
2005年04月19日,10227,1,,
2005年04月20日,10245,1,,
2005年04月21日,10226,1,,
2005年04月22日,10208,1,,
2005年04月25日,10233,1,,
2005年04月26日,10243,1,,
2005年04月27日,10243,1,,
2005年04月28日,10257,1,,
2005年05月02日,10263,1,,
2005年05月06日,10279,1,,
2005年05月09日,10220,1,,
2005年05月10日,10215,1,,
2005年05月11日,10230,1,,
2005年05月12日,10226,1,,
2005年05月13日,10231,1,,
2005年05月16日,10207,1,,
2005年05月17日,10214,1,,
2005年05月18日,10241,1,,
2005年05月19日,10251,1,,
2005年05月20日,10246,1,,
2005年05月23日,10222,1,,
2005年05月24日,10252,1,,
2005年05月25日,10281,1,,
2005年05月26日,10263,1,,
2005年05月27日,10257,1,,
2005年05月30日,10274,1,,
2005年05月31日,10260,1,,
2005年06月01日,10279,1,,
2005年06月02日,10271,1,,
2005年06月03日,10281,1,,
2005年06月06日,10254,1,,
2005年06月07日,10165,1,,
2005年06月08日,10146,1,,
2005年06月09日,10146,1,,
2005年06月10日,10127,1,,
2005年06月13日,10098,1,,
2005年06月14日,10082,1,,
2005年06月15日,10075,1,,
2005年06月16日,10041,1,,
2005年06月17日,10043,1,,
2005年06月20日,10057,1,,
2005年06月21日,10057,1,,
2005年06月22日,10081,1,,
2005年06月23日,10116,1,,
2005年06月24日,10130,1,,
2005年06月27日,10161,1,,
2005年06月28日,10145,1,,
2005年06月29日,10170,1,,
2005年06月30日,10172,1,,
2005年07月01日,10159,1,,
2005年07月04日,10111,1,,
2005年07月05日,10099,1,,
2005年07月06日,10091,1,,
2005年07月07日,10095,1,,
2005年07月08日,10099,1,,
2005年07月11日,10070,1,,
2005年07月12日,10060,1,,
2005年07月13日,10035,1,,
2005年07月14日,10040,1,,
2005年07月15日,10025,1,,
2005年07月19日,10027,1,,
2005年07月20日,10030,1,,
2005年07月21日,10034,1,,
2005年07月22日,10049,1,,
2005年07月25日,10026,1,,
2005年07月26日,10011,1,,
2005年07月27日,9977,1,,
2005年07月28日,9992,1,,
2005年07月29日,10017,1,,
2005年08月01日,9989,1,,
2005年08月02日,9981,1,,
2005年08月03日,9986,1,,
2005年08月04日,9971,1,,
2005年08月05日,9956,1,,
2005年08月08日,9936,1,,
2005年08月09日,9901,1,,
2005年08月10日,9867,1,,
2005年08月11日,9813,1,,
2005年08月12日,9857,1,,
2005年08月15日,9870,1,,
2005年08月16日,9855,1,,
2005年08月17日,9900,1,,
2005年08月18日,9906,1,,
2005年08月19日,9915,1,,
2005年08月22日,9866,1,,
2005年08月23日,9866,1,,
2005年08月24日,9855,1,,
2005年08月25日,9846,1,,
2005年08月26日,9848,1,,
2005年08月29日,9869,1,,
2005年08月30日,9861,1,,
2005年08月31日,9901,1,,
2005年09月01日,9916,1,,
2005年09月02日,9931,1,,
2005年09月05日,9902,1,,
2005年09月06日,9936,1,,
2005年09月07日,9946,1,,
2005年09月08日,9969,1,,
2005年09月09日,9971,1,,
2005年09月12日,9944,1,,
2005年09月13日,9934,1,,
2005年09月14日,9949,1,,
2005年09月15日,9975,1,,
2005年09月16日,9965,1,,
2005年09月20日,9965,1,,
2005年09月21日,9965,1,,
2005年09月22日,9982,1,,
2005年09月26日,9962,1,,
2005年09月27日,9962,12,,
2005年09月28日,9945,12,,
2005年09月29日,9925,12,,
2005年09月30日,9951,12,,
2005年10月03日,9944,12,,
2005年10月04日,9904,12,,
2005年10月05日,9929,12,,
2005年10月06日,9926,12,,
2005年10月07日,9887,12,,
2005年10月11日,9887,12,,
2005年10月12日,9906,12,,
2005年10月13日,9907,12,,
2005年10月14日,9907,12,,
2005年10月17日,9911,12,,
2005年10月18日,9924,12,,
2005年10月19日,9970,12,,
2005年10月20日,9963,12,,
2005年10月21日,9963,12,,
2005年10月24日,9964,12,,
2005年10月25日,9919,12,,
2005年10月26日,9889,12,0.00,
2005年10月27日,9926,12,,
2005年10月28日,9944,12,,
2005年10月31日,9919,12,,
2005年11月01日,9913,12,,
2005年11月02日,9926,12,,
2005年11月04日,9918,12,,
2005年11月07日,9848,12,,
2005年11月08日,9850,12,,
2005年11月09日,9874,12,,
2005年11月10日,9869,12,,
2005年11月11日,9869,12,,
2005年11月14日,9905,10,,
2005年11月15日,9952,10,,
2005年11月16日,9927,10,,
2005年11月17日,9954,10,,
2005年11月18日,9949,10,,
2005年11月21日,9926,10,,
2005年11月22日,9926,10,,
2005年11月24日,9948,10,,
2005年11月25日,9939,10,,
2005年11月28日,9924,10,,
2005年11月29日,9902,10,,
2005年11月30日,9922,10,,
2005年12月01日,9935,10,,
2005年12月02日,9976,10,,
2005年12月05日,9954,10,,
2005年12月06日,9969,10,,
2005年12月07日,9983,10,,
2005年12月08日,9997,10,,
2005年12月09日,9972,10,,
2005年12月12日,9937,10,,
2005年12月13日,9953,10,,
2005年12月14日,9974,10,,
2005年12月15日,10003,10,,
2005年12月16日,9989,10,,
2005年12月19日,9980,10,,
2005年12月20日,9993,10,,
2005年12月21日,9978,10,,
2005年12月22日,9994,10,,
2005年12月26日,10037,10,,
2005年12月27日,10057,10,,
2005年12月28日,10037,10,,
2005年12月29日,10036,10,,
2005年12月30日,10085,10,,
2006年01月04日,10102,10,,
2006年01月05日,10092,10,,
2006年01月06日,10071,10,,
2006年01月10日,10087,10,,
2006年01月11日,10059,10,,
2006年01月12日,10066,10,,
2006年01月13日,10127,10,,
2006年01月16日,10127,10,,
2006年01月17日,10186,10,,
2006年01月18日,10167,10,,
2006年01月19日,10120,10,,
2006年01月20日,10114,10,,
2006年01月23日,10116,10,,
2006年01月24日,10130,10,,
2006年01月25日,10115,10,,
2006年01月26日,10101,10,,
2006年01月27日,10067,10,,
2006年01月30日,10057,10,,
2006年01月31日,10077,10,,
2006年02月01日,10086,10,,
2006年02月02日,10084,10,,
2006年02月03日,10043,10,,
2006年02月06日,10053,10,,
2006年02月07日,10043,10,,
2006年02月08日,10043,10,,
2006年02月09日,10032,10,,
2006年02月10日,10002,10,,
2006年02月13日,10034,10,,
2006年02月14日,10007,10,,
2006年02月15日,10018,10,,
2006年02月16日,10029,10,,
2006年02月17日,10050,10,,
2006年02月20日,10048,10,,
2006年02月21日,10026,10,,
2006年02月22日,10027,10,,
2006年02月23日,10007,10,,
2006年02月24日,10014,10,,
2006年02月27日,10019,10,,
2006年02月28日,10029,10,,
2006年03月01日,10046,10,,
2006年03月02日,10007,10,,
2006年03月03日,10020,10,,
2006年03月06日,10001,10,,
2006年03月07日,10000,10,,
2006年03月08日,10024,10,,
2006年03月09日,10033,10,,
2006年03月10日,10010,10,,
2006年03月13日,9988,10,,
2006年03月14日,9973,10,,
2006年03月15日,9952,10,,
2006年03月16日,9975,10,,
2006年03月17日,9986,10,,
2006年03月20日,9968,10,,
2006年03月22日,9962,10,,
2006年03月23日,9974,10,,
2006年03月24日,9965,10,,
2006年03月27日,10006,10,,
2006年03月28日,10007,10,,
2006年03月29日,9965,10,,
2006年03月30日,9944,10,,
2006年03月31日,9929,10,,
2006年04月03日,9885,10,,
