年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2009年05月14日,86302,10352,,
2009年05月15日,88203,10580,,
2009年05月18日,85997,10315,,
2009年05月19日,88007,10556,,
2009年05月20日,88654,10634,,
2009年05月21日,88175,10576,,
2009年05月22日,87621,10510,,
2009年05月25日,88329,10595,,
2009年05月26日,88410,10604,,
2009年05月27日,89317,10713,,
2009年05月28日,89582,10745,,
2009年05月29日,89836,10776,,
2009年06月01日,91281,10949,,
2009年06月02日,91380,10961,,
2009年06月03日,91489,10974,,
2009年06月04日,91132,10931,,
2009年06月05日,91692,10998,,
2009年06月08日,92718,11121,,
2009年06月09日,91855,11018,,
2009年06月10日,93720,11241,,
2009年06月11日,94089,11286,,
2009年06月12日,95074,11404,,
2009年06月15日,94703,11359,,
2009年06月16日,91503,10975,,
2009年06月17日,92330,11075,,
2009年06月18日,91143,10932,,
2009年06月19日,91931,11027,,
2009年06月22日,92288,11070,,
2009年06月23日,90187,10818,,
2009年06月24日,90266,10827,,
2009年06月25日,92057,11042,,
2009年06月26日,92766,11127,,
2009年06月29日,91622,10990,,
2009年06月30日,93031,11159,,
2009年07月01日,92901,11143,,
2009年07月02日,92479,11093,,
2009年07月03日,92146,11053,,
2009年07月06日,91316,10953,,
2009年07月07日,90981,10913,,
2009年07月08日,88916,10665,,
2009年07月09日,87463,10491,,
2009年07月10日,87318,10474,,
2009年07月13日,85309,10233,,
2009年07月14日,86919,10426,,
2009年07月15日,86720,10402,,
2009年07月16日,87300,10471,,
2009年07月17日,87895,10543,,
2009年07月21日,90218,10821,,
2009年07月22日,90724,10882,,
2009年07月23日,90941,10908,,
2009年07月24日,92112,11049,,
2009年07月27日,92886,11141,,
2009年07月28日,93084,11165,,
2009年07月29日,93112,11169,,
2009年07月30日,93767,11247,,
2009年07月31日,95132,11411,,
2009年08月03日,95827,11494,,
2009年08月04日,95967,11511,,
2009年08月05日,95017,11397,,
2009年08月06日,95817,11493,,
2009年08月07日,95761,11486,,
2009年08月10日,96992,11634,,
2009年08月11日,97419,11685,,
2009年08月12日,96062,11522,,
2009年08月13日,96920,11625,,
2009年08月14日,97435,11687,,
2009年08月17日,95035,11399,,
2009年08月18日,95045,11400,,
2009年08月19日,94379,11321,,
2009年08月20日,95924,11506,,
2009年08月21日,94804,11371,,
2009年08月24日,97093,11646,,
2009年08月25日,96588,11585,,
2009年08月26日,97647,11712,,
2009年08月27日,96508,11576,,
2009年08月28日,97009,11636,,
2009年08月31日,96640,11592,,
2009年09月01日,96954,11629,,
2009年09月02日,95064,11403,,
2009年09月03日,94358,11318,,
2009年09月04日,93656,11234,,
2009年09月07日,94542,11340,,
2009年09月08日,94721,11361,,
2009年09月09日,94066,11283,,
2009年09月10日,95932,11507,,
2009年09月11日,95112,11408,,
2009年09月14日,93480,11213,,
2009年09月15日,93326,11194,,
2009年09月16日,93222,11182,,
2009年09月17日,94024,11278,,
2009年09月18日,94020,11277,,
2009年09月24日,95067,11403,,
2009年09月25日,92954,11150,,
2009年09月28日,90945,10909,,
2009年09月29日,91061,10922,,
2009年09月30日,91674,10996,,
2009年10月01日,90274,10828,,
2009年10月02日,88115,10569,,
2009年10月05日,87362,10479,,
2009年10月06日,87799,10531,,
2009年10月07日,89216,10701,,
2009年10月08日,89419,10726,,
2009年10月09日,90441,10848,,
2009年10月13日,90782,10889,,
2009年10月14日,90086,10806,,
2009年10月15日,91083,10925,,
2009年10月16日,90759,10886,,
2009年10月19日,91239,10944,,
2009年10月20日,92003,11036,,
2009年10月21日,92037,11040,,
2009年10月22日,91520,10978,,
2009年10月23日,90860,10898,,
2009年10月26日,91735,11003,,
2009年10月27日,90201,10819,,
2009年10月28日,89522,10738,,
2009年10月29日,88847,10657,,
2009年10月30日,90122,10810,,
2009年11月02日,88684,10637,,
2009年11月04日,88754,10646,,
2009年11月05日,88112,10569,,
2009年11月06日,88007,10556,,
2009年11月09日,87683,10517,,
2009年11月10日,87853,10538,,
2009年11月11日,87844,10537,,
2009年11月12日,87385,10482,,
2009年11月13日,87290,10470,,
2009年11月16日,86645,10393,,
2009年11月17日,86300,10351,,
2009年11月18日,85595,10267,,
2009年11月19日,84362,10119,,
2009年11月20日,84476,10133,,
2009年11月24日,83503,10016,,
2009年11月25日,83907,10064,,
2009年11月26日,83537,10020,,
2009年11月27日,81671,9796,,
2009年11月30日,84576,10145,,
2009年12月01日,86385,10362,,
2009年12月02日,86478,10373,,
2009年12月03日,89425,10726,,
2009年12月04日,89584,10745,,
2009年12月07日,90524,8154,,
2009年12月08日,90309,8134,,
2009年12月09日,89116,8027,,
2009年12月10日,88005,7927,,
2009年12月11日,89490,8060,,
2009年12月14日,89125,8027,,
2009年12月15日,89075,8023,,
2009年12月16日,90464,8148,,
2009年12月17日,90244,8128,,
2009年12月18日,89980,8105,,
2009年12月21日,89767,8085,,
2009年12月22日,90919,8189,,
2009年12月24日,92013,8288,,
2009年12月25日,91573,8248,,
2009年12月28日,92173,8302,,
2009年12月29日,92294,8313,,
2009年12月30日,91441,8236,,
2010年01月04日,92279,8312,,
2010年01月05日,92669,8347,,
2010年01月06日,93826,8451,,
2010年01月07日,93900,8458,,
2010年01月08日,94846,8543,,
2010年01月12日,96146,8660,,
2010年01月13日,95120,8567,,
2010年01月14日,96639,8704,,
2010年01月15日,97377,8771,,
2010年01月16日,96516,8693,860.00,1
2010年01月18日,95634,8614,,
2010年01月19日,94855,8544,,
2010年01月20日,94346,8498,,
2010年01月21日,95474,8599,,
2010年01月22日,93968,8464,,
2010年01月25日,93336,8407,,
2010年01月26日,91527,8244,,
2010年01月27日,90645,8164,,
2010年01月28日,91304,8224,,
2010年01月29日,89979,8104,,
2010年02月01日,89737,8083,,
2010年02月02日,91172,8212,,
2010年02月03日,91450,8237,,
2010年02月04日,90987,8195,,
2010年02月05日,89067,8022,,
2010年02月08日,88180,7942,,
2010年02月09日,88031,7929,,
2010年02月10日,88233,7947,,
2010年02月12日,89111,8026,,
2010年02月15日,88222,7946,,
2010年02月16日,88397,7962,,
2010年02月17日,90345,8137,,
2010年02月18日,90361,8139,,
2010年02月19日,88797,7998,,
2010年02月22日,90857,8183,,
2010年02月23日,90619,8162,,
2010年02月24日,89498,8061,,
2010年02月25日,89045,8020,,
2010年02月26日,89315,8045,,
2010年03月01日,89805,8089,,
2010年03月02日,90185,8123,,
2010年03月03日,90475,8149,,
2010年03月04日,89676,8077,,
2010年03月05日,90985,8195,,
2010年03月08日,92641,8344,,
2010年03月09日,92336,8317,,
2010年03月10日,92147,8300,,
2010年03月11日,92944,8372,,
2010年03月12日,93534,8425,,
2010年03月15日,93790,8448,,
2010年03月16日,93696,8439,,
2010年03月17日,94630,8523,,
2010年03月18日,93972,8464,,
2010年03月19日,94798,8538,,
2010年03月23日,94640,8524,,
2010年03月24日,95095,8565,,
2010年03月25日,95108,8566,,
