年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2007年08月02日,2548,5095,,
2007年08月03日,2548,5095,,
2007年08月06日,2547,5095,,
2007年08月07日,2548,5095,,
2007年08月08日,2547,5095,,
2007年08月09日,2581,5163,,
2007年08月10日,2511,5022,,
2007年08月13日,2514,5027,,
2007年08月14日,2527,5053,,
2007年08月15日,2517,5033,,
2007年08月16日,2501,5002,,
2007年08月17日,2419,4838,,
2007年08月20日,2392,4785,,
2007年08月21日,2423,4847,,
2007年08月22日,2407,4813,,
2007年08月23日,2428,4856,,
2007年08月24日,2459,4919,,
2007年08月27日,2452,4904,,
2007年08月28日,2455,4910,,
2007年08月29日,2450,4900,,
2007年08月30日,2448,4896,,
2007年08月31日,2469,4938,,
2007年09月03日,2494,4987,,
2007年09月04日,2493,4985,,
2007年09月05日,2524,5049,,
2007年09月06日,2512,5023,,
2007年09月07日,2538,5076,,
2007年09月10日,2545,5091,,
2007年09月11日,2551,5102,,
2007年09月12日,2571,5142,,
2007年09月13日,2580,5160,,
2007年09月14日,2602,5205,,
2007年09月18日,2646,5291,,
2007年09月19日,2648,5296,,
2007年09月20日,2697,5394,,
2007年09月21日,2691,5382,,
2007年09月25日,2684,5369,,
2007年09月26日,2665,5330,,
2007年09月27日,2694,10775,,
2007年09月28日,2683,10732,,
2007年10月01日,2709,10834,,
2007年10月02日,2722,10888,,
2007年10月03日,2685,10741,,
2007年10月04日,2702,10810,,
2007年10月05日,2678,10712,,
2007年10月09日,2739,10957,,
2007年10月10日,2734,10936,,
2007年10月11日,2756,11022,,
2007年10月12日,2796,11183,,
2007年10月15日,2794,11175,,
2007年10月16日,2829,11317,,
2007年10月17日,2801,11203,,
2007年10月18日,2824,11295,,
2007年10月19日,2806,11223,,
2007年10月22日,2784,11137,,
2007年10月23日,2720,10880,,
2007年10月24日,2760,11041,,
2007年10月25日,2743,10973,,
2007年10月26日,2783,11133,,
2007年10月29日,2823,11294,,
2007年10月30日,2870,11480,,
2007年10月31日,2852,11407,,
2007年11月01日,2888,11553,,
2007年11月02日,2881,11523,,
2007年11月05日,2900,11601,,
2007年11月06日,2923,11693,,
2007年11月07日,2964,19263,,
2007年11月08日,2978,19357,,
2007年11月09日,2989,19427,,
2007年11月12日,2901,18856,,
2007年11月13日,2772,18018,,
2007年11月14日,2796,18173,,
2007年11月15日,2857,18571,,
2007年11月16日,2777,18053,,
2007年11月19日,2756,17912,,
2007年11月20日,2707,17596,,
2007年11月21日,2766,17977,,
2007年11月22日,2730,17747,,
2007年11月26日,2777,18049,,
2007年11月27日,2833,18413,,
2007年11月28日,2776,18044,,
2007年11月29日,2780,18072,,
2007年11月30日,2748,17863,,
2007年12月03日,2741,17816,,
2007年12月04日,2732,17760,,
2007年12月05日,2757,17923,,
2007年12月06日,2774,18030,,
2007年12月07日,2814,18291,,
2007年12月10日,2790,18136,,
2007年12月11日,2850,18528,,
2007年12月12日,2846,18496,,
2007年12月13日,2880,18717,,
2007年12月14日,2831,18399,,
