年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2018年10月31日,10000,10,,
2018年11月01日,10077,10,,
2018年11月02日,10209,11,,
2018年11月05日,10228,35,,
2018年11月06日,10259,86,,
2018年11月07日,10293,114,,
2018年11月08日,10494,125,,
2018年11月09日,10493,135,,
2018年11月12日,10388,155,,
2018年11月13日,10187,165,,
2018年11月14日,10232,165,,
2018年11月15日,10156,212,,
2018年11月16日,10217,221,,
2018年11月19日,10176,228,,
2018年11月20日,10059,234,,
2018年11月21日,9907,245,,
2018年11月22日,9987,255,,
2018年11月26日,9925,268,,
2018年11月27日,10087,272,,
2018年11月28日,10122,308,,
2018年11月29日,10277,322,,
2018年11月30日,10271,367,,
2018年12月03日,10325,379,,
2018年12月04日,10426,395,,
2018年12月05日,10143,414,,
2018年12月06日,10096,439,,
2018年12月07日,9995,434,,
2018年12月10日,9842,450,,
2018年12月11日,9824,473,,
2018年12月12日,9897,505,,
2018年12月13日,9983,524,,
2018年12月14日,9992,534,,
2018年12月17日,9835,538,,
2018年12月18日,9633,537,,
2018年12月19日,9588,555,,
2018年12月20日,9501,584,,
2018年12月21日,9283,597,,
2018年12月25日,8878,585,,
2018年12月26日,8929,598,,
2018年12月27日,9230,618,,
2018年12月28日,9254,619,,
2019年01月04日,8926,659,,
2019年01月07日,9261,718,,
2019年01月08日,9346,788,,
2019年01月09日,9414,829,,
2019年01月10日,9448,857,,
2019年01月11日,9504,870,,
2019年01月15日,9456,902,,
2019年01月16日,9531,929,,
2019年01月17日,9600,974,,
2019年01月18日,9685,1028,,
2019年01月21日,9820,1055,,
2019年01月22日,9816,1049,,
2019年01月23日,9694,1036,,
2019年01月24日,9718,1122,,
2019年01月25日,9756,1137,,
2019年01月28日,9814,1151,,
2019年01月29日,9735,1161,,
2019年01月30日,9759,1184,,
2019年01月31日,9848,1206,,
2019年02月01日,9905,1220,,
2019年02月04日,9973,1250,,
2019年02月05日,10047,1308,,
2019年02月06日,10098,1364,,
2019年02月07日,10070,1360,,
2019年02月08日,9958,1345,,
2019年02月12日,10029,1354,,
2019年02月13日,10140,1472,,
2019年02月14日,10192,1521,,
2019年02月15日,10128,1523,,
2019年02月18日,10232,1593,,
2019年02月19日,10243,1621,,
2019年02月20日,10286,1628,,
2019年02月21日,10321,1670,,
2019年02月22日,10301,1685,,
2019年02月25日,10368,1713,,
2019年02月26日,10413,1790,,
2019年02月27日,10380,1833,,
2019年02月28日,10387,1852,,
2019年03月01日,10418,1874,,
2019年03月04日,10513,1915,,
2019年03月05日,10477,1997,,
2019年03月06日,10452,2040,,
2019年03月07日,10402,2052,,
2019年03月08日,10292,2049,,
2019年03月11日,10200,2048,,
2019年03月12日,10382,2096,,
2019年03月13日,10390,2128,,
2019年03月14日,10452,2182,,
2019年03月15日,10516,2208,,
2019年03月18日,10550,2227,,
2019年03月19日,10577,2264,,
2019年03月20日,10616,2295,,
2019年03月22日,10570,2312,,
2019年03月25日,10309,2270,,
2019年03月26日,10330,2314,,
2019年03月27日,10415,2350,,
2019年03月28日,10348,2352,,
2019年03月29日,10429,2404,,
2019年04月01日,10519,2435,,
2019年04月02日,10656,2521,,
2019年04月03日,10684,2643,,
2019年04月04日,10734,2674,,
2019年04月05日,10763,2711,,
2019年04月08日,10765,2724,,
2019年04月09日,10781,2728,,
2019年04月10日,10715,2766,,
2019年04月11日,10742,2792,,
2019年04月12日,10791,2831,,
2019年04月15日,10879,2872,,
2019年04月16日,10874,2920,,
2019年04月17日,10904,2987,,
2019年04月18日,10882,3001,,
2019年04月19日,10880,3032,,
2019年04月22日,10880,3055,,
2019年04月23日,10870,3052,,
2019年04月24日,10934,3070,,
2019年04月25日,10927,3156,0.00,1
2019年04月26日,10868,3152,,
2019年05月07日,10755,3151,,
2019年05月08日,10560,3107,,
2019年05月09日,10520,3277,,
2019年05月10日,10437,3285,,
2019年05月13日,10460,3325,,
2019年05月14日,10237,3305,,
2019年05月15日,10318,3331,,
2019年05月16日,10356,3421,,
2019年05月17日,10476,3509,,
2019年05月20日,10435,3510,,
2019年05月21日,10376,3512,,
2019年05月22日,10471,3586,,
2019年05月23日,10424,3587,,
2019年05月24日,10263,3552,,
2019年05月27日,10278,3570,,
2019年05月28日,10291,3590,,
2019年05月29日,10201,3559,,
2019年05月30日,10151,3610,,
2019年05月31日,10142,3616,,
2019年06月03日,9976,3573,,
2019年06月04日,9954,3601,,
2019年06月05日,10119,3805,,
2019年06月06日,10187,3860,,
2019年06月07日,10247,3955,,
2019年06月10日,10354,4025,,
2019年06月11日,10409,4047,,
2019年06月12日,10443,4022,,
2019年06月13日,10392,4015,,
2019年06月14日,10410,4045,,
2019年06月17日,10387,4064,,
2019年06月18日,10379,4055,,
2019年06月19日,10497,4145,,
2019年06月20日,10494,4156,,
2019年06月21日,10544,4187,,
2019年06月24日,10540,4208,,
2019年06月25日,10516,4214,,
2019年06月26日,10438,4199,,
2019年06月27日,10476,4248,,
2019年06月28日,10521,4277,,
2019年07月01日,10623,4336,,
2019年07月02日,10703,4429,,
2019年07月03日,10660,4411,,
2019年07月04日,10739,4611,,
2019年07月05日,10757,4632,,
2019年07月08日,10766,4635,,
2019年07月09日,10739,4686,,
2019年07月10日,10744,4733,,
2019年07月11日,10720,4735,,
2019年07月12日,10766,4793,,
2019年07月16日,10750,4807,,
2019年07月17日,10760,4837,,
2019年07月18日,10656,4878,,
2019年07月19日,10668,4908,,
2019年07月22日,10664,4958,,
2019年07月23日,10688,4987,,
2019年07月24日,10759,5075,,
2019年07月25日,10791,5121,,
2019年07月26日,10788,5173,,
2019年07月29日,10802,5219,,
2019年07月30日,10831,5260,,
2019年07月31日,10758,5255,,
2019年08月01日,10716,5251,,
2019年08月02日,10458,5172,,
2019年08月05日,10258,5242,,
2019年08月06日,9961,5130,,
2019年08月07日,10044,5260,,
2019年08月08日,10050,5325,,
2019年08月09日,10210,5513,,
2019年08月13日,10002,5469,,
2019年08月14日,10178,5602,,
2019年08月15日,9919,5596,,
2019年08月16日,9927,5636,,
2019年08月19日,10074,5807,,
2019年08月20日,10201,5925,,
2019年08月21日,10122,5932,,
2019年08月22日,10219,6018,,
2019年08月23日,10200,6035,,
2019年08月26日,9885,5881,,
2019年08月27日,10000,5972,,
2019年08月28日,9987,5964,,
2019年08月29日,10048,6088,,
2019年08月30日,10194,6204,,
2019年09月02日,10186,6186,,
2019年09月03日,10202,6207,,
2019年09月04日,10116,6155,,
2019年09月05日,10295,6506,,
2019年09月06日,10463,6630,,
2019年09月09日,10477,6662,,
2019年09月10日,10527,6714,,
2019年09月11日,10562,6769,,
2019年09月12日,10674,6901,,
2019年09月13日,10734,6963,,
2019年09月17日,10702,6961,,
2019年09月18日,10717,6988,,
2019年09月19日,10731,7032,,
2019年09月20日,10712,7033,,
2019年09月24日,10629,6995,,
2019年09月25日,10519,6939,,
2019年09月26日,10580,7004,,
2019年09月27日,10584,7044,,
2019年09月30日,10556,7041,,
2019年10月01日,10615,7102,,
2019年10月02日,10474,7051,,
2019年10月03日,10231,6887,,
2019年10月04日,10266,7167,,
2019年10月07日,10359,7308,,
2019年10月08日,10403,7359,,
2019年10月09日,10258,7256,,
2019年10月10日,10345,7412,,
2019年10月11日,10491,7545,,
2019年10月15日,10652,7712,,
2019年10月16日,10769,7831,,
2019年10月17日,10773,7915,,
2019年10月18日,10800,7947,,
2019年10月21日,10754,7920,,
2019年10月23日,10788,7947,,
2019年10月24日,10835,8048,,
2019年10月25日,10870,8102,,
2019年10月28日,10906,8172,,
2019年10月29日,10982,8289,,
2019年10月30日,10964,8350,,
2019年10月31日,10999,8385,,
2019年11月01日,10884,8294,,
2019年11月05日,11116,8499,,
2019年11月06日,11140,8807,,
2019年11月07日,11132,8892,,
2019年11月08日,11213,8975,,
2019年11月11日,11183,9080,,
2019年11月12日,11166,9081,,
2019年11月13日,11153,9071,,
2019年11月14日,11115,9157,,
2019年11月15日,11103,9137,,
2019年11月18日,11202,9212,,
2019年11月19日,11181,9244,,
2019年11月20日,11190,9326,,
2019年11月21日,11129,9325,,
2019年11月22日,11128,9387,,
2019年11月25日,11165,9455,,
2019年11月26日,11267,9591,,
2019年11月27日,11291,9693,,
2019年11月28日,11354,9771,,
2019年11月29日,11361,9803,,
2019年12月02日,11328,9774,,
2019年12月03日,11198,9659,,
2019年12月04日,11075,9887,,
2019年12月05日,11169,10011,,
2019年12月06日,11184,10082,,
2019年12月09日,11252,10187,,
2019年12月10日,11233,10284,,
2019年12月11日,11231,10402,,
2019年12月12日,11256,10538,,
2019年12月13日,11466,10767,,
2019年12月16日,11478,10823,,
2019年12月17日,11577,11049,,
2019年12月18日,11580,11169,,
2019年12月19日,11599,11288,,
2019年12月20日,11597,11299,,
2019年12月23日,11635,11399,,
2019年12月24日,11654,11420,,
2019年12月25日,11639,11513,,
2019年12月26日,11669,11559,,
2019年12月27日,11723,11613,,
2019年12月30日,11736,11625,,
2020年01月06日,11569,11641,,
2020年01月07日,11624,11758,,
2020年01月08日,11539,12192,,
2020年01月09日,11717,12490,,
