年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2018年07月03日,10038,1,,
2018年07月04日,9936,1,,
2018年07月05日,9942,105,,
2018年07月06日,10057,106,,
2018年07月09日,10121,162,,
2018年07月10日,10265,175,,
2018年07月11日,10288,227,,
2018年07月12日,10330,272,,
2018年07月13日,10475,315,,
2018年07月17日,10445,370,,
2018年07月18日,10541,430,,
2018年07月19日,10540,532,,
2018年07月20日,10486,572,,
2018年07月23日,10322,646,,
2018年07月24日,10371,688,,
2018年07月25日,10423,765,,
2018年07月26日,10462,823,,
2018年07月27日,10469,879,,
2018年07月30日,10398,897,,
2018年07月31日,10330,931,,
2018年08月01日,10458,1009,,
2018年08月02日,10437,1049,,
2018年08月03日,10497,1144,,
2018年08月06日,10493,1198,,
2018年08月07日,10539,1249,,
2018年08月08日,10581,1346,,
2018年08月09日,10526,1366,,
2018年08月10日,10515,1522,,
2018年08月13日,10409,1588,,
2018年08月14日,10388,1649,,
2018年08月15日,10514,1736,,
2018年08月16日,10361,1783,,
2018年08月17日,10473,1871,,
2018年08月20日,10477,1926,,
2018年08月21日,10439,1953,,
2018年08月22日,10490,2023,,
2018年08月23日,10540,2061,,
2018年08月24日,10592,2113,,
2018年08月27日,10627,2157,,
2018年08月28日,10712,2206,,
2018年08月29日,10715,2291,,
2018年08月30日,10828,2351,,
2018年08月31日,10714,2374,,
2018年09月03日,10709,2422,,
2018年09月04日,10718,2479,,
2018年09月05日,10743,2485,,
2018年09月06日,10688,2604,,
2018年09月07日,10580,2605,,
2018年09月10日,10598,2664,,
2018年09月11日,10668,2715,,
2018年09月12日,10720,2817,,
2018年09月13日,10710,2870,,
2018年09月14日,10834,2960,,
2018年09月18日,10751,2953,,
2018年09月19日,10855,3012,,
2018年09月20日,10876,3116,,
2018年09月21日,10984,3196,,
2018年09月25日,10981,3242,,
2018年09月26日,10959,3360,,
2018年09月27日,10919,3463,,
2018年09月28日,11016,3582,,
2018年10月01日,11051,3661,,
2018年10月02日,11097,3838,,
2018年10月03日,11056,3993,,
2018年10月04日,11143,4101,,
2018年10月05日,11026,4185,,
2018年10月09日,10849,4195,,
2018年10月10日,10845,4313,,
2018年10月11日,10420,4317,,
2018年10月12日,10195,4349,,
2018年10月15日,10324,4537,,
2018年10月16日,10250,4772,,
2018年10月17日,10520,5229,,
2018年10月18日,10545,5370,,
2018年10月19日,10362,5446,,
2018年10月22日,10369,5561,,
2018年10月23日,10351,5630,,
2018年10月24日,10267,5705,,
2018年10月25日,9911,5559,,
2018年10月26日,10133,5782,,
2018年10月29日,9916,5784,,
2018年10月30日,9898,5880,,
2018年10月31日,10121,6083,,
2018年11月01日,10188,6209,,
2018年11月02日,10303,6378,,
2018年11月05日,10272,6499,,
2018年11月06日,10330,6617,,
2018年11月07日,10387,6758,,
2018年11月08日,10652,6975,,
2018年11月09日,10667,7165,,
2018年11月12日,10561,7214,,
2018年11月13日,10328,7099,,
2018年11月14日,10339,7225,,
2018年11月15日,10238,7242,,
2018年11月16日,10349,7396,,
2018年11月19日,10288,7428,,
2018年11月20日,10112,7353,,
2018年11月21日,9949,7295,,
2018年11月22日,9996,7374,,
2018年11月26日,9927,7427,,
2018年11月27日,10124,7574,,
2018年11月28日,10182,7697,,
2018年11月29日,10402,7963,,
2018年11月30日,10368,7991,,
2018年12月03日,10468,8108,,
2018年12月04日,10580,8264,,
2018年12月05日,10173,8099,,
2018年12月06日,10178,8082,,
2018年12月07日,10151,8061,,
2018年12月10日,9893,7972,,
2018年12月11日,9964,8090,,
2018年12月12日,9998,8218,,
2018年12月13日,10041,8348,,
2018年12月14日,10057,8455,,
2018年12月17日,9854,8364,,
2018年12月18日,9593,8207,,
2018年12月19日,9566,8299,,
2018年12月20日,9429,8241,,
2018年12月21日,9183,8095,,
2018年12月25日,8645,7706,,
2018年12月26日,8693,7845,,
2018年12月27日,9162,8268,,
2018年12月28日,9231,8573,,
2019年01月04日,8809,8310,,
2019年01月07日,9184,8772,,
2019年01月08日,9272,9102,,
2019年01月09日,9354,9315,,
2019年01月10日,9350,9372,,
2019年01月11日,9416,9562,,
2019年01月15日,9360,9571,,
2019年01月16日,9463,9796,,
2019年01月17日,9531,9986,,
2019年01月18日,9641,10211,,
2019年01月21日,9794,10391,,
2019年01月22日,9796,10483,,
2019年01月23日,9640,10316,,
2019年01月24日,9665,10403,,
2019年01月25日,9698,10525,,
2019年01月28日,9744,10625,,
2019年01月29日,9653,10688,,
2019年01月30日,9660,10769,,
2019年01月31日,9770,10918,,
2019年02月01日,9854,11052,,
2019年02月04日,9917,11174,,
2019年02月05日,10029,11486,,
2019年02月06日,10059,11624,,
2019年02月07日,10047,11742,,
2019年02月08日,9945,11662,,
2019年02月12日,10026,11843,,
2019年02月13日,10156,12032,,
2019年02月14日,10227,12206,,
2019年02月15日,10153,12190,,
2019年02月18日,10274,12361,,
2019年02月19日,10273,12444,,
2019年02月20日,10309,12488,,
2019年02月21日,10325,12577,,
2019年02月22日,10296,12572,,
2019年02月25日,10363,12683,,
2019年02月26日,10398,12815,,
2019年02月27日,10350,12857,,
2019年02月28日,10372,13011,,
2019年03月01日,10408,13139,,
2019年03月04日,10526,13374,,
2019年03月05日,10474,13518,,
2019年03月06日,10447,13591,,
2019年03月07日,10373,13568,,
2019年03月08日,10282,13493,,
2019年03月11日,10203,13416,,
2019年03月12日,10401,13661,,
2019年03月13日,10415,13769,,
2019年03月14日,10488,13975,,
2019年03月15日,10543,14086,,
2019年03月18日,10562,14151,,
2019年03月19日,10578,14247,,
2019年03月20日,10608,14350,,
2019年03月22日,10604,14413,,
2019年03月25日,10326,14097,,
2019年03月26日,10346,14170,,
2019年03月27日,10450,14337,,
2019年03月28日,10386,14330,,
2019年03月29日,10484,14557,,
2019年04月01日,10565,14720,,
2019年04月02日,10721,14965,,
2019年04月03日,10728,15254,,
2019年04月04日,10754,15315,,
2019年04月05日,10804,15453,,
2019年04月08日,10818,15466,,
2019年04月09日,10827,15553,,
2019年04月10日,10743,15540,,
2019年04月11日,10773,15632,,
2019年04月12日,10840,15818,,
2019年04月15日,10934,16053,,
2019年04月16日,10925,16156,,
2019年04月17日,10944,16359,,
2019年04月18日,10910,16491,,
2019年04月19日,10925,16583,,
2019年04月22日,10923,16622,,
2019年04月23日,10922,16620,,
2019年04月24日,11027,16938,,
2019年04月25日,11035,17010,0.00,1
2019年04月26日,10989,16995,,
2019年05月07日,10900,16760,,
2019年05月08日,10675,16476,,
2019年05月09日,10640,16870,,
2019年05月10日,10595,17039,,
2019年05月13日,10626,17162,,
2019年05月14日,10340,16761,,
2019年05月15日,10443,17081,,
2019年05月16日,10495,17287,,
2019年05月17日,10638,17708,,
2019年05月20日,10593,17741,,
2019年05月21日,10522,17749,,
2019年05月22日,10646,18091,,
2019年05月23日,10591,18087,,
2019年05月24日,10416,17984,,
2019年05月27日,10408,18221,,
2019年05月28日,10415,18359,,
2019年05月29日,10300,18156,,
2019年05月30日,10260,18310,,
2019年05月31日,10259,18447,,
2019年06月03日,10031,18072,,
2019年06月04日,9966,18020,,
2019年06月05日,10198,18684,,
2019年06月06日,10308,19016,,
2019年06月07日,10385,19320,,
2019年06月10日,10495,19609,,
2019年06月11日,10543,19793,,
2019年06月12日,10548,19906,,
2019年06月13日,10519,19935,,
2019年06月14日,10557,20060,,
2019年06月17日,10563,20214,,
2019年06月18日,10565,20257,,
2019年06月19日,10662,20584,,
2019年06月20日,10622,20563,,
2019年06月21日,10684,20771,,
2019年06月24日,10673,20876,,
2019年06月25日,10641,20839,,
2019年06月26日,10545,20889,,
2019年06月27日,10570,21043,,
2019年06月28日,10619,21218,,
2019年07月01日,10725,21580,,
2019年07月02日,10830,21868,,
2019年07月03日,10785,22497,,
2019年07月04日,10881,22749,,
2019年07月05日,10891,22835,,
2019年07月08日,10935,22928,,
2019年07月09日,10916,23026,,
2019年07月10日,10946,23207,,
2019年07月11日,10914,23231,,
2019年07月12日,10973,23513,,
2019年07月16日,10968,23569,,
2019年07月17日,10967,23793,,
2019年07月18日,10847,23769,,
2019年07月19日,10858,23867,,
2019年07月22日,10833,23843,,
2019年07月23日,10872,24010,,
2019年07月24日,10962,24357,,
2019年07月25日,11015,24568,,
2019年07月26日,11010,24710,,
2019年07月29日,11060,24990,,
2019年07月30日,11088,25123,,
2019年07月31日,11035,25099,,
2019年08月01日,10978,24991,,
2019年08月02日,10671,24383,,
2019年08月05日,10514,24536,,
2019年08月06日,10152,23571,,
2019年08月07日,10316,24151,,
2019年08月08日,10319,24507,,
2019年08月09日,10506,25350,,
2019年08月13日,10257,25022,,
2019年08月14日,10503,25820,,
2019年08月15日,10166,25279,,
2019年08月16日,10203,25489,,
2019年08月19日,10377,26290,,
2019年08月20日,10526,26937,,
2019年08月21日,10415,26864,,
2019年08月22日,10528,27293,,
2019年08月23日,10525,27384,,
2019年08月26日,10102,26323,,
2019年08月27日,10286,26872,,
2019年08月28日,10243,27112,,
2019年08月29日,10340,27499,,
