年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2010年07月20日,9720,1,,
2010年07月21日,9836,1,,
2010年07月22日,9709,1,,
2010年07月23日,9990,1,,
2010年07月26日,10123,2,,
2010年07月27日,10133,5,,
2010年07月28日,10231,8,,
2010年07月29日,10145,10,,
2010年07月30日,10069,10,,
2010年08月02日,10069,11,,
2010年08月03日,10295,12,,
2010年08月04日,10166,20,,
2010年08月05日,10284,22,,
2010年08月06日,10228,22,,
2010年08月09日,10140,23,,
2010年08月10日,10250,24,,
2010年08月11日,10083,27,,
2010年08月12日,9764,27,,
2010年08月13日,9833,28,,
2010年08月16日,9769,28,,
2010年08月17日,9731,33,,
2010年08月18日,9892,35,,
2010年08月19日,9894,36,,
2010年08月20日,9737,37,,
2010年08月23日,9679,37,,
2010年08月24日,9607,37,,
2010年08月25日,9385,38,,
2010年08月26日,9402,44,,
2010年08月27日,9368,46,,
2010年08月30日,9657,49,,
2010年08月31日,9438,49,,
2010年09月01日,9406,49,,
2010年09月02日,9710,53,,
2010年09月03日,9764,55,,
2010年09月06日,9885,56,,
2010年09月07日,9876,57,,
2010年09月08日,9729,56,,
2010年09月09日,9798,57,,
2010年09月10日,9877,59,,
2010年09月13日,9933,63,,
2010年09月14日,9972,64,,
2010年09月15日,10177,69,,
2010年09月16日,10284,70,,
2010年09月17日,10292,71,,
2010年09月21日,10409,72,,
2010年09月22日,10333,76,,
2010年09月24日,10185,79,,
2010年09月27日,10349,81,,
2010年09月28日,10325,82,,
2010年09月29日,10327,85,,
2010年09月30日,10314,79,,
2010年10月01日,10257,81,,
2010年10月04日,10297,81,,
2010年10月05日,10247,81,,
2010年10月06日,10401,84,,
2010年10月07日,10426,84,,
2010年10月08日,10340,87,,
2010年10月12日,10364,87,,
2010年10月13日,10316,89,,
2010年10月14日,10435,92,,
2010年10月15日,10416,92,,
2010年10月18日,10360,92,,
2010年10月19日,10389,95,,
2010年10月20日,10228,97,,
2010年10月21日,10313,99,,
2010年10月22日,10343,100,,
2010年10月25日,10361,101,,
2010年10月26日,10341,102,,
2010年10月27日,10389,105,,
2010年10月28日,10346,107,,
2010年10月29日,10299,108,,
2010年11月01日,10280,109,,
2010年11月02日,10319,110,,
2010年11月04日,10513,116,,
2010年11月05日,10712,119,,
2010年11月08日,10751,120,,
2010年11月09日,10695,121,,
2010年11月10日,10715,121,,
2010年11月11日,10767,122,,
2010年11月12日,10736,122,,
2010年11月15日,10635,121,,
2010年11月16日,10707,129,,
2010年11月17日,10521,130,,
2010年11月18日,10527,132,,
2010年11月19日,10762,136,,
2010年11月22日,10773,136,,
2010年11月24日,10458,132,,
2010年11月25日,10588,138,,
2010年11月26日,10654,151,,
2010年11月29日,10576,149,,
2010年11月30日,10531,151,,
2010年12月01日,10379,150,,
2010年12月02日,10678,156,,
2010年12月03日,10809,160,,
2010年12月06日,10760,159,,
2010年12月07日,10704,158,,
2010年12月08日,10862,163,,
2010年12月09日,10913,165,,
2010年12月10日,10919,166,,
2010年12月13日,10966,165,,
2010年12月14日,10988,167,,
2010年12月15日,11043,172,,
2010年12月16日,11001,174,,
2010年12月17日,11017,176,,
2010年12月20日,10982,176,,
2010年12月21日,10954,178,,
2010年12月22日,11066,187,,
2010年12月24日,11006,188,,
2010年12月27日,10969,188,,
2010年12月28日,10954,188,,
2010年12月29日,10884,187,,
2010年12月30日,10848,186,,
2011年01月04日,10969,211,,
2011年01月05日,11010,213,,
2011年01月06日,11177,223,,
2011年01月07日,11128,225,,
2011年01月11日,10967,228,,
2011年01月12日,11110,235,,
2011年01月13日,11244,239,,
2011年01月14日,11225,242,,
2011年01月17日,11282,244,,
