年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2013年11月18日,10113,1,,
2013年11月19日,10182,1,,
2013年11月20日,10219,1,,
2013年11月21日,10264,4,,
2013年11月22日,10320,6,,
2013年11月25日,10361,10,,
2013年11月26日,10351,28,,
2013年11月27日,10167,63,,
2013年11月28日,10248,79,,
2013年11月29日,10242,89,,
2013年12月02日,10284,97,,
2013年12月03日,10268,104,,
2013年12月04日,10113,116,,
2013年12月05日,10078,125,,
2013年12月06日,10055,129,,
2013年12月09日,10254,140,,
2013年12月10日,10288,140,,
2013年12月11日,10267,146,,
2013年12月12日,10119,151,,
2013年12月13日,10152,154,,
2013年12月16日,10138,154,,
2013年12月17日,10139,160,,
2013年12月18日,9963,157,,
2013年12月19日,10112,168,,
2013年12月20日,10102,182,,
2013年12月24日,10200,193,,
2013年12月25日,10244,197,,
2013年12月26日,10228,207,,
2013年12月27日,10193,207,,
2013年12月30日,10157,206,,
2014年01月06日,10054,219,,
2014年01月07日,9999,235,,
2014年01月08日,10078,259,,
2014年01月09日,10016,266,,
2014年01月10日,9982,268,,
2014年01月14日,9949,268,,
2014年01月15日,10047,272,,
2014年01月16日,10042,272,,
2014年01月17日,9922,274,,
2014年01月20日,9756,272,,
2014年01月21日,9817,273,,
2014年01月22日,9802,279,,
2014年01月23日,9868,283,,
2014年01月24日,9662,279,,
2014年01月27日,9403,275,0.00,1
2014年01月28日,9493,279,,
2014年01月29日,9598,272,,
2014年01月30日,9207,263,,
2014年01月31日,9268,269,,
2014年02月03日,9271,269,,
2014年02月04日,9107,265,,
2014年02月05日,9230,268,,
2014年02月06日,9260,278,,
2014年02月07日,9490,286,,
2014年02月10日,9533,289,,
2014年02月12日,9495,291,,
2014年02月13日,9537,296,,
2014年02月14日,9515,298,,
2014年02月17日,9512,301,,
2014年02月18日,9591,305,,
2014年02月19日,9559,307,,
2014年02月20日,9474,306,,
2014年02月21日,9438,307,,
2014年02月24日,9535,315,,
2014年02月25日,9578,317,,
2014年02月26日,9500,317,,
2014年02月27日,9462,317,,
2014年02月28日,9597,325,,
2014年03月03日,9612,327,,
2014年03月04日,9602,329,,
2014年03月05日,9850,342,,
2014年03月06日,9922,347,,
2014年03月07日,10019,351,,
2014年03月10日,9940,348,,
2014年03月11日,9938,349,,
2014年03月12日,9801,346,,
